mouse,group,cable,filename,file_path
2,CTRL,Cable1,Mouse2_Cable1-2026-02-13_12-38-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-02-13_12-38-35.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-03-04_11-03-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-04_11-03-06.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-03-09_11-20-55.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-09_11-20-55.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-03-14_11-15-50.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-14_11-15-50.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-03-19_16-25-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-19_16-25-11.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-03-27_10-36-46.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-27_10-36-46.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-04-01_10-31-21.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-01_10-31-21.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-04-03_10-12-45.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-03_10-12-45.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-04-10_17-21-53.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-10_17-21-53.eeg
2,CTRL,Cable1,Mouse2_Cable1-2026-04-17_11-37-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-17_11-37-34.eeg
2,CTRL,Cable1,Mouse2_Cable1_2026-03-30_10-02-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1_2026-03-30_10-02-35.eeg
5,CTRL,Cable1,Mouse5_Cable1-2026-02-13_09-14-09.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-02-13_09-14-09.eeg
5,CTRL,Cable1,Mouse5_Cable1-2026-03-06_11-12-15.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-06_11-12-15.eeg
5,CTRL,Cable1,Mouse5_Cable1-2026-03-11_11-11-07.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-11_11-11-07.eeg
5,CTRL,Cable1,Mouse5_Cable1-2026-03-17_10-31-53.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-17_10-31-53.eeg
5,CTRL,Cable1,Mouse5_Cable1-2026-03-24_12-38-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-24_12-38-34.eeg
5,CTRL,Cable1,Mouse5_Cable1-2026-04-01_10-55-04.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-04-01_10-55-04.eeg
5,CTRL,Cable1,Mouse5_Cable1-2026-04-03_10-36-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-04-03_10-36-06.eeg
