mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase
2,CTRL,Cable1,Mouse2_Cable1-2026-02-13_12-38-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-02-13_12-38-35.eeg,2026-02-13,baseline,,,32.7,baseline,A
2,CTRL,Cable1,Mouse2_Cable1-2026-03-04_11-03-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-04_11-03-06.eeg,2026-03-04,diet,9.0,,32.13,interpolated,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-09_11-20-55.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-09_11-20-55.eeg,2026-03-09,diet,14.0,,31.5,measured,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-14_11-15-50.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-14_11-15-50.eeg,2026-03-14,diet,19.0,,30.65,interpolated,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-19_16-25-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-19_16-25-11.eeg,2026-03-19,diet,24.0,,30.6,measured,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-27_10-36-46.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-27_10-36-46.eeg,2026-03-27,diet,32.0,,30.65,interpolated,A
2,CTRL,Cable1,Mouse2_Cable1-2026-04-01_10-31-21.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-01_10-31-21.eeg,2026-04-01,recovery,,2.0,31.13,interpolated,A
2,CTRL,Cable1,Mouse2_Cable1-2026-04-03_10-12-45.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-03_10-12-45.eeg,2026-04-03,recovery,,4.0,32.5,interpolated,
2,CTRL,Cable1,Mouse2_Cable1-2026-04-10_17-21-53.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-10_17-21-53.eeg,2026-04-10,recovery,,11.0,33.27,interpolated,
2,CTRL,Cable1,Mouse2_Cable1-2026-04-17_11-37-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-17_11-37-34.eeg,2026-04-17,recovery,,18.0,33.5,carried,
