mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,excluded,exclusion_reason
2,CTRL,Cable1,Mouse2_Cable1-2026-02-13_12-38-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-02-13_12-38-35.eeg,2026-02-13,baseline,,,32.7,baseline,A,True,outside_analysis_window
2,CTRL,Cable1,Mouse2_Cable1-2026-04-03_10-12-45.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-03_10-12-45.eeg,2026-04-03,recovery,,4.0,32.5,interpolated,,True,outside_analysis_window
2,CTRL,Cable1,Mouse2_Cable1-2026-04-10_17-21-53.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-10_17-21-53.eeg,2026-04-10,recovery,,11.0,33.27,interpolated,,True,outside_analysis_window
2,CTRL,Cable1,Mouse2_Cable1-2026-04-17_11-37-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-17_11-37-34.eeg,2026-04-17,recovery,,18.0,33.5,carried,,True,outside_analysis_window
5,CTRL,Cable1,Mouse5_Cable1-2026-02-13_09-14-09.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-02-13_09-14-09.eeg,2026-02-13,baseline,,,31.5,baseline,B,True,outside_analysis_window
5,CTRL,Cable1,Mouse5_Cable1-2026-04-03_10-36-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-04-03_10-36-06.eeg,2026-04-03,recovery,,4.0,30.65,interpolated,,True,outside_analysis_window
5,CTRL,Cable1,Mouse5_Cable1-2026-04-10_17-46-23.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-04-10_17-46-23.eeg,2026-04-10,recovery,,11.0,33.3,interpolated,,True,outside_analysis_window
5,CTRL,Cable1,Mouse5_Cable1-2026-04-17_12-03-59.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-04-17_12-03-59.eeg,2026-04-17,recovery,,18.0,32.3,carried,,True,outside_analysis_window
7,CTRL,Cable1,Mouse7_Cable1-2026-02-12_13-00-21.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-02-12_13-00-21.eeg,2026-02-12,baseline,,,31.0,baseline,B,True,outside_analysis_window
7,CTRL,Cable1,Mouse7_Cable1-2026-04-03_10-59-24.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-04-03_10-59-24.eeg,2026-04-03,recovery,,4.0,29.75,interpolated,,True,outside_analysis_window
7,CTRL,Cable1,Mouse7_Cable1-2026-04-10_18-09-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-04-10_18-09-01.eeg,2026-04-10,recovery,,11.0,31.15,interpolated,,True,outside_analysis_window
7,CTRL,Cable1,Mouse7_Cable1-2026-04-17_12-27-40.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-04-17_12-27-40.eeg,2026-04-17,recovery,,18.0,32.2,carried,,True,outside_analysis_window
