mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase
2,CTRL,Cable1,Mouse2_Cable1-2026-03-04_11-03-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-04_11-03-06.eeg,2026-03-04,diet,9.0,,32.13,interpolated,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-09_11-20-55.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-09_11-20-55.eeg,2026-03-09,diet,14.0,,31.5,measured,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-14_11-15-50.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-14_11-15-50.eeg,2026-03-14,diet,19.0,,30.65,interpolated,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-19_16-25-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-19_16-25-11.eeg,2026-03-19,diet,24.0,,30.6,measured,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-27_10-36-46.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-27_10-36-46.eeg,2026-03-27,diet,32.0,,30.65,interpolated,A
2,CTRL,Cable1,Mouse2_Cable1-2026-04-01_10-31-21.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-01_10-31-21.eeg,2026-04-01,recovery,,2.0,31.13,interpolated,A
2,CTRL,Cable1,Mouse2_Cable1_2026-03-30_10-02-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1_2026-03-30_10-02-35.eeg,2026-03-30,diet,35.0,,29.6,measured,D
5,CTRL,Cable1,Mouse5_Cable1-2026-03-06_11-12-15.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-06_11-12-15.eeg,2026-03-06,diet,11.0,,30.95,interpolated,D
5,CTRL,Cable1,Mouse5_Cable1-2026-03-11_11-11-07.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-11_11-11-07.eeg,2026-03-11,diet,16.0,,29.77,interpolated,C
5,CTRL,Cable1,Mouse5_Cable1-2026-03-17_10-31-53.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-17_10-31-53.eeg,2026-03-17,diet,22.0,,29.33,interpolated,C
5,CTRL,Cable1,Mouse5_Cable1-2026-03-24_12-38-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-24_12-38-34.eeg,2026-03-24,diet,29.0,,29.17,interpolated,D
5,CTRL,Cable1,Mouse5_Cable1-2026-04-01_10-55-04.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-04-01_10-55-04.eeg,2026-04-01,recovery,,2.0,29.7,interpolated,B
5,CTRL,Cable1,Mouse5_Cable1_2026-03-30_10-27-44.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1_2026-03-30_10-27-44.eeg,2026-03-30,diet,35.0,,28.9,measured,D
7,CTRL,Cable1,Mouse7_Cable1-2026-03-04_11-40-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-03-04_11-40-58.eeg,2026-03-04,diet,9.0,,31.0,interpolated,C
7,CTRL,Cable1,Mouse7_Cable1-2026-03-09_11-59-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-03-09_11-59-34.eeg,2026-03-09,diet,14.0,,30.2,measured,D
7,CTRL,Cable1,Mouse7_Cable1-2026-03-14_11-51-43.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-03-14_11-51-43.eeg,2026-03-14,diet,19.0,,31.05,interpolated,D
7,CTRL,Cable1,Mouse7_Cable1-2026-03-19_17-01-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-03-19_17-01-34.eeg,2026-03-19,diet,24.0,,30.3,measured,C
7,CTRL,Cable1,Mouse7_Cable1-2026-03-27_11-12-28.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-03-27_11-12-28.eeg,2026-03-27,diet,32.0,,28.72,interpolated,D
7,CTRL,Cable1,Mouse7_Cable1-2026-04-01_11-18-33.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1-2026-04-01_11-18-33.eeg,2026-04-01,recovery,,2.0,29.0,interpolated,A
7,CTRL,Cable1,Mouse7_Cable1_2026-03-30_10-51-09.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse7_Cable1_2026-03-30_10-51-09.eeg,2026-03-30,diet,35.0,,28.2,measured,D
8,CTRL,Cable1,Mouse8_Cable1-2026-03-06_11-51-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-06_11-51-01.eeg,2026-03-06,diet,11.0,,30.65,interpolated,C
8,CTRL,Cable1,Mouse8_Cable1-2026-03-11_11-51-53.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-11_11-51-53.eeg,2026-03-11,diet,16.0,,29.77,interpolated,C
8,CTRL,Cable1,Mouse8_Cable1-2026-03-17_11-09-26.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-17_11-09-26.eeg,2026-03-17,diet,22.0,,29.2,interpolated,D
8,CTRL,Cable1,Mouse8_Cable1-2026-03-24_13-14-52.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-24_13-14-52.eeg,2026-03-24,diet,29.0,,29.57,interpolated,B
8,CTRL,Cable1,Mouse8_Cable1-2026-04-01_11-42-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-04-01_11-42-11.eeg,2026-04-01,recovery,,2.0,29.73,interpolated,A
8,CTRL,Cable1,Mouse8_Cable1_2026-03-30_11-14-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1_2026-03-30_11-14-35.eeg,2026-03-30,diet,35.0,,28.6,measured,D
13,CTRL,Cable1,Mouse13_Cable1-2026-02-19_11-46-09.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-02-19_11-46-09.eeg,2026-02-19,baseline,,,30.5,baseline,D
13,CTRL,Cable1,Mouse13_Cable1-2026-03-04_12-19-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-04_12-19-35.eeg,2026-03-04,diet,9.0,,28.37,interpolated,B
13,CTRL,Cable1,Mouse13_Cable1-2026-03-09_12-34-46.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-09_12-34-46.eeg,2026-03-09,diet,14.0,,27.4,measured,A
13,CTRL,Cable1,Mouse13_Cable1-2026-03-14_12-26-46.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-14_12-26-46.eeg,2026-03-14,diet,19.0,,28.2,interpolated,D
13,CTRL,Cable1,Mouse13_Cable1-2026-03-17_11-45-07.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-17_11-45-07.eeg,2026-03-17,diet,22.0,,28.07,interpolated,A
13,CTRL,Cable1,Mouse13_Cable1-2026-03-27_11-54-52.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-27_11-54-52.eeg,2026-03-27,diet,32.0,,26.9,interpolated,C
13,CTRL,Cable1,Mouse13_Cable1-2026-04-01_12-05-44.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-04-01_12-05-44.eeg,2026-04-01,recovery,,2.0,28.17,interpolated,B
13,CTRL,Cable1,Mouse13_Cable1_2026-03-30_11-38-49.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1_2026-03-30_11-38-49.eeg,2026-03-30,diet,35.0,,26.9,measured,D
18,CTRL,Cable1,Mouse18_Cable1-2026-02-21_11-53-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-02-21_11-53-58.eeg,2026-02-21,baseline,,,35.3,baseline,B
18,CTRL,Cable1,Mouse18_Cable1-2026-03-06_12-29-54.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-06_12-29-54.eeg,2026-03-06,diet,11.0,,32.83,interpolated,D
18,CTRL,Cable1,Mouse18_Cable1-2026-03-11_12-32-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-11_12-32-08.eeg,2026-03-11,diet,16.0,,31.3,interpolated,D
18,CTRL,Cable1,Mouse18_Cable1-2026-03-19_17-37-41.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-19_17-37-41.eeg,2026-03-19,diet,24.0,,29.8,measured,C
18,CTRL,Cable1,Mouse18_Cable1-2026-03-24_13-50-15.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-24_13-50-15.eeg,2026-03-24,diet,29.0,,30.37,interpolated,D
18,CTRL,Cable1,Mouse18_Cable1-2026-04-01_12-28-44.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-01_12-28-44.eeg,2026-04-01,recovery,,2.0,30.43,interpolated,C
18,CTRL,Cable1,Mouse18_Cable1_2026-03-30_12-01-38.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1_2026-03-30_12-01-38.eeg,2026-03-30,diet,35.0,,30.1,measured,A
19,CTRL,Cable1,Mouse19_Cable1-2026-02-21_13-53-25.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-02-21_13-53-25.eeg,2026-02-21,baseline,,,29.1,baseline,A
19,CTRL,Cable1,Mouse19_Cable1-2026-03-04_12-59-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-04_12-59-01.eeg,2026-03-04,diet,9.0,,29.37,interpolated,B
19,CTRL,Cable1,Mouse19_Cable1-2026-03-09_13-11-23.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-09_13-11-23.eeg,2026-03-09,diet,14.0,,29.7,measured,B
19,CTRL,Cable1,Mouse19_Cable1-2026-03-14_13-02-22.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-14_13-02-22.eeg,2026-03-14,diet,19.0,,29.15,interpolated,D
19,CTRL,Cable1,Mouse19_Cable1-2026-03-19_19-00-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-19_19-00-58.eeg,2026-03-19,diet,24.0,,28.5,measured,D
19,CTRL,Cable1,Mouse19_Cable1-2026-03-27_12-30-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-27_12-30-35.eeg,2026-03-27,diet,32.0,,29.03,interpolated,D
19,CTRL,Cable1,Mouse19_Cable1-2026-04-01_12-52-41.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-01_12-52-41.eeg,2026-04-01,recovery,,2.0,29.27,interpolated,D
19,CTRL,Cable1,Mouse19_Cable1_2026-03-30_12-31-14.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1_2026-03-30_12-31-14.eeg,2026-03-30,diet,35.0,,28.8,measured,B
24,CTRL,Cable1,Mouse24_Cable1-2026-03-06_13-06-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-06_13-06-06.eeg,2026-03-06,diet,11.0,,27.02,interpolated,B
24,CTRL,Cable1,Mouse24_Cable1-2026-03-11_13-10-18.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-11_13-10-18.eeg,2026-03-11,diet,16.0,,26.93,interpolated,C
24,CTRL,Cable1,Mouse24_Cable1-2026-03-17_12-19-55.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-17_12-19-55.eeg,2026-03-17,diet,22.0,,26.57,interpolated,D
24,CTRL,Cable1,Mouse24_Cable1-2026-03-24_14-29-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-24_14-29-11.eeg,2026-03-24,diet,29.0,,25.8,interpolated,C
24,CTRL,Cable1,Mouse24_Cable1-2026-04-01_13-17-43.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-01_13-17-43.eeg,2026-04-01,recovery,,2.0,26.07,interpolated,C
24,CTRL,Cable1,Mouse24_Cable1_2026-03-30_12-54-24.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1_2026-03-30_12-54-24.eeg,2026-03-30,diet,35.0,,25.2,measured,D
26,CTRL,Cable1,Mouse26_Cable1-2026-02-21_14-36-19.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-02-21_14-36-19.eeg,2026-02-21,baseline,,,33.0,baseline,A
26,CTRL,Cable1,Mouse26_Cable1-2026-03-04_13-38-17.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-04_13-38-17.eeg,2026-03-04,diet,9.0,,34.33,interpolated,B
