mouse,group,cable,original_file,differential_base_name,differential_file,diff_npy_path,spike2_eeg_file,spike2_eeg_path,spike2_scale_factor,spike2_was_scaled,channel_1,channel_2,differential,duration_sec,duration_min,original_path,diff_eeg_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,is_recovery,estrous_phase
2,CTRL,Cable1,Mouse2_Cable1-2026-03-04_11-03-06.eeg,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.eeg,1.0,False,3,4,Ch3-Ch4,1811.4696,30.19116,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-04_11-03-06.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,32.13,interpolated,False,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-09_11-20-55.eeg,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.eeg,1.0,False,3,4,Ch3-Ch4,1830.0432,30.50072,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-09_11-20-55.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,31.5,measured,False,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-14_11-15-50.eeg,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.eeg,1.0,False,3,4,Ch3-Ch4,1842.8448,30.714080000000003,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-14_11-15-50.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,30.65,interpolated,False,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-19_16-25-11.eeg,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.eeg,1.0,False,3,4,Ch3-Ch4,1810.5736,30.176226666666665,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-19_16-25-11.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.6,measured,False,B
2,CTRL,Cable1,Mouse2_Cable1-2026-03-27_10-36-46.eeg,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.eeg,1.0,False,3,4,Ch3-Ch4,1831.128,30.5188,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-03-27_10-36-46.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,30.65,interpolated,False,A
2,CTRL,Cable1,Mouse2_Cable1-2026-04-01_10-31-21.eeg,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.eeg,1.0,False,3,4,Ch3-Ch4,1238.9536,20.649226666666667,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1-2026-04-01_10-31-21.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,31.13,interpolated,False,A
2,CTRL,Cable1,Mouse2_Cable1_2026-03-30_10-02-35.eeg,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.eeg,1.0,False,3,4,Ch3-Ch4,1248.4048,20.806746666666665,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse2_Cable1_2026-03-30_10-02-35.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,29.6,measured,False,D
5,CTRL,Cable1,Mouse5_Cable1-2026-03-06_11-12-15.eeg,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.eeg,1.0,False,2,3,Ch2-Ch3,1801.9712,30.032853333333332,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-06_11-12-15.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,2026-03-06,diet,11.0,,30.95,interpolated,False,D
5,CTRL,Cable1,Mouse5_Cable1-2026-03-11_11-11-07.eeg,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.eeg,1.0,False,2,3,Ch2-Ch3,1808.3248,30.13874666666667,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-11_11-11-07.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,2026-03-11,diet,16.0,,29.77,interpolated,False,C
5,CTRL,Cable1,Mouse5_Cable1-2026-03-17_10-31-53.eeg,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_eeg_for_spike2_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.eeg,1.0,False,2,3,Ch2-Ch3,1803.9056,30.065093333333333,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse5_Cable1-2026-03-17_10-31-53.eeg,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,29.33,interpolated,False,C
