mouse,group,differential_file,n_samples,saturation_fraction,max_abs,status
25,HF,Mouse25_Cable1_HF_2026-03-10_14-50-39_DIFF_Ch2_minus_Ch3.npy,2315685,0.00037,65535.0,ok
23,HF,Mouse23_Cable1_HF_2026-03-31_13-25-17_DIFF_Ch2_minus_Ch3.npy,601627,0.00021,65535.0,ok
23,HF,Mouse23_Cable1_HF_2026-03-26_13-09-11_DIFF_Ch2_minus_Ch3.npy,2100052,0.00019,65535.0,ok
22,HF,Mouse22_Cable1_HF_2026-03-16_11-57-06_DIFF_Ch1_minus_Ch4.npy,2256218,0.00014,65535.0,ok
23,HF,Mouse23_Cable1_HF_2026-03-23_12-44-17_DIFF_Ch2_minus_Ch3.npy,589989,9e-05,65535.0,ok
23,HF,Mouse23_Cable1_HF_2026-03-13_15-01-38_DIFF_Ch2_minus_Ch3.npy,2254194,5e-05,65535.0,ok
23,HF,Mouse23_Cable1_HF_2026-03-03_14-52-57_DIFF_Ch2_minus_Ch3.npy,2261742,3e-05,65048.0,ok
23,HF,Mouse23_Cable1_HF_2026-03-08_13-37-51_DIFF_Ch2_minus_Ch3.npy,2251500,1e-05,65102.0,ok
21,HF,Mouse21_Cable1_HF_2026-03-13_14-26-02_DIFF_Ch2_minus_Ch3.npy,2256336,0.0,32920.0,ok
9,HF,Mouse9_Cable1_HF_2026-03-31_10-58-10_DIFF_Ch3_minus_Ch4.npy,1602261,0.0,35080.0,ok
25,HF,Mouse25_Cable1_HF_2026-03-16_12-32-16_DIFF_Ch2_minus_Ch3.npy,2279435,0.0,30760.0,ok
23,HF,Mouse23_Cable1_HF_2026-02-21_15-15-29_DIFF_Ch2_minus_Ch3.npy,492641,0.0,27063.0,ok
26,CTRL,Mouse26_Cable1_CTRL_2026-03-04_13-38-17_DIFF_Ch3_minus_Ch4.npy,2258578,0.0,33548.0,ok
26,CTRL,Mouse26_Cable1_CTRL_2026-03-09_13-51-01_DIFF_Ch3_minus_Ch4.npy,2251815,0.0,33770.0,ok
25,HF,Mouse25_Cable1_HF_2026-03-05_12-46-31_DIFF_Ch2_minus_Ch3.npy,2268505,0.0,31825.0,ok
26,CTRL,Mouse26_Cable1_CTRL_2026-03-14_13-38-05_DIFF_Ch3_minus_Ch4.npy,2252287,0.0,33388.0,ok
21,HF,Mouse21_Cable1_HF_2026-03-29_14-46-18_DIFF_Ch2_minus_Ch3.npy,1515253,0.0,24069.0,ok
