mouse,group,cable,differential_file,days_on_diet,body_weight,duration_min,min,max,mean,std,rms,peak_to_peak,diff_path,bad_std,bad_rms,bad_peak_to_peak,bad_candidate
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-04_13-38-17_DIFF_Ch3_minus_Ch4.npy,9.0,34.33,30.114373333333333,-33548.0,24712.0,27.465565501833453,2734.2738876861213,2734.411828926013,58260.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse26_Cable1_CTRL_2026-03-04_13-38-17_DIFF_Ch3_minus_Ch4.npy,True,True,False,True
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-09_13-51-01_DIFF_Ch3_minus_Ch4.npy,14.0,33.9,30.0242,-33770.0,33414.0,157.10529772650062,6994.604337548329,6996.368480392068,67184.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse26_Cable1_CTRL_2026-03-09_13-51-01_DIFF_Ch3_minus_Ch4.npy,True,True,False,True
26,CTRL,Cable1,Mouse26_Cable1_CTRL_2026-03-14_13-38-05_DIFF_Ch3_minus_Ch4.npy,19.0,34.0,30.030493333333332,-32640.0,33388.0,-3.9647038765485925,5129.662853247075,5129.664385401811,66028.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse26_Cable1_CTRL_2026-03-14_13-38-05_DIFF_Ch3_minus_Ch4.npy,True,True,False,True
9,HF,Cable1,Mouse9_Cable1_HF_2026-03-31_10-58-10_DIFF_Ch3_minus_Ch4.npy,,33.93,21.36348,-35080.0,30324.0,-8.576439169398743,1602.8114122192846,1602.8343577703854,65404.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse9_Cable1_HF_2026-03-31_10-58-10_DIFF_Ch3_minus_Ch4.npy,True,True,False,True
21,HF,Cable1,Mouse21_Cable1_HF_2026-03-13_14-26-02_DIFF_Ch2_minus_Ch3.npy,18.0,33.42,30.08448,-32920.0,32099.0,-2.090978914487913,1264.772591722175,1264.7743201711714,65019.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse21_Cable1_HF_2026-03-13_14-26-02_DIFF_Ch2_minus_Ch3.npy,True,True,False,True
21,HF,Cable1,Mouse21_Cable1_HF_2026-03-29_14-46-18_DIFF_Ch2_minus_Ch3.npy,34.0,32.98,20.20337333333333,-19401.0,24069.0,-0.9313916553869221,1019.4196604682934,1019.4200859506872,43470.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse21_Cable1_HF_2026-03-29_14-46-18_DIFF_Ch2_minus_Ch3.npy,True,True,False,True
22,HF,Cable1,Mouse22_Cable1_HF_2026-03-16_11-57-06_DIFF_Ch1_minus_Ch4.npy,21.0,29.4,30.082906666666666,-65535.0,65535.0,12.089764818825131,2143.323242543283,2143.35733941861,131070.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse22_Cable1_HF_2026-03-16_11-57-06_DIFF_Ch1_minus_Ch4.npy,True,True,True,True
23,HF,Cable1,Mouse23_Cable1_HF_2026-02-21_15-15-29_DIFF_Ch2_minus_Ch3.npy,,28.5,6.568546666666666,-27063.0,20148.0,3.1908692130780834,3309.3755153257684,3309.377053628678,47211.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse23_Cable1_HF_2026-02-21_15-15-29_DIFF_Ch2_minus_Ch3.npy,True,True,False,True
23,HF,Cable1,Mouse23_Cable1_HF_2026-03-03_14-52-57_DIFF_Ch2_minus_Ch3.npy,8.0,28.27,30.156560000000002,-64872.0,65048.0,77.09024946258238,5791.384619591806,5791.897678533929,129920.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse23_Cable1_HF_2026-03-03_14-52-57_DIFF_Ch2_minus_Ch3.npy,True,True,True,True
23,HF,Cable1,Mouse23_Cable1_HF_2026-03-08_13-37-51_DIFF_Ch2_minus_Ch3.npy,13.0,28.08,30.02,-65102.0,65096.0,33.668732844770155,2621.438407236476,2621.6546123595085,130198.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse23_Cable1_HF_2026-03-08_13-37-51_DIFF_Ch2_minus_Ch3.npy,True,True,True,True
23,HF,Cable1,Mouse23_Cable1_HF_2026-03-13_15-01-38_DIFF_Ch2_minus_Ch3.npy,18.0,27.52,30.05592,-64983.0,65535.0,-19.570459330474662,3728.7658556132496,3728.8172131207516,130518.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse23_Cable1_HF_2026-03-13_15-01-38_DIFF_Ch2_minus_Ch3.npy,True,True,True,True
23,HF,Cable1,Mouse23_Cable1_HF_2026-03-23_12-44-17_DIFF_Ch2_minus_Ch3.npy,28.0,28.1,7.8665199999999995,-65535.0,52176.0,30.048216153182516,1487.652057713018,1487.9554899632465,117711.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse23_Cable1_HF_2026-03-23_12-44-17_DIFF_Ch2_minus_Ch3.npy,True,True,False,True
23,HF,Cable1,Mouse23_Cable1_HF_2026-03-26_13-09-11_DIFF_Ch2_minus_Ch3.npy,31.0,26.6,28.000693333333334,-65535.0,65535.0,-28.92072005836046,10200.95915636003,10201.000152817087,131070.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse23_Cable1_HF_2026-03-26_13-09-11_DIFF_Ch2_minus_Ch3.npy,True,True,True,True
