mouse,group,cable,differential_file,days_on_diet,body_weight,duration_min,min,max,mean,std,rms,peak_to_peak,diff_path,bad_std,bad_rms,bad_peak_to_peak,bad_candidate
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,9.0,32.13,30.19116,-27022.0,27731.0,0.6685890836920476,514.7355930554173,514.7360272697795,54753.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,14.0,31.5,30.50072,-6231.0,9481.0,0.734023327973897,247.11887024427608,247.11996038574748,15712.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,19.0,30.65,30.714080000000003,-23832.0,18236.0,0.14029352878766568,402.5773191769937,402.57734362232725,42068.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,24.0,30.6,30.176226666666665,-6192.0,16698.0,-0.431288736343002,251.5913527955251,251.59172246212003,22890.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,32.0,30.65,30.5188,-11897.0,9475.0,-0.16836878688982965,468.55235102738374,468.55238127805615,21372.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,,31.13,20.649226666666667,-9175.0,14885.0,0.46660020197689406,418.46849734029144,418.46875747418704,24060.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,35.0,29.6,20.806746666666665,-3928.0,6465.0,0.17389103278039303,166.5051318298627,166.50522263211818,10393.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,11.0,30.95,30.032853333333332,-8891.0,10169.0,0.10435105733099397,244.84581724751695,244.8458394842511,19060.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,16.0,29.77,30.13874666666667,-2471.0,2115.0,0.08837438937960702,120.17565317451681,120.17568566875103,4586.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,22.0,29.33,30.065093333333333,-1851.0,2370.0,-0.029868525270945443,119.48160640925825,119.4816101425893,4221.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-24_12-38-34_DIFF_Ch2_minus_Ch3.npy,29.0,29.17,30.158399999999997,-304.0,257.0,-0.005805789873910199,55.80313159095215,55.80313189297101,561.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-24_12-38-34_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-04-01_10-55-04_DIFF_Ch2_minus_Ch3.npy,,29.7,20.218306666666667,-581.0,441.0,-0.26758192080708376,55.522568337637985,55.52321311750629,1022.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-04-01_10-55-04_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-30_10-27-44_DIFF_Ch2_minus_Ch3.npy,35.0,28.9,20.779746666666664,-237.0,240.0,-0.17993546279999564,53.991665633272135,53.99196546363015,477.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse5_Cable1_CTRL_2026-03-30_10-27-44_DIFF_Ch2_minus_Ch3.npy,False,False,False,False
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-04_11-40-58_DIFF_Ch3_minus_Ch4.npy,9.0,31.0,30.774626666666666,-3854.0,2229.0,0.23150976757042707,242.1803256829619,242.1804363376158,6083.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse7_Cable1_CTRL_2026-03-04_11-40-58_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-09_11-59-34_DIFF_Ch3_minus_Ch4.npy,14.0,30.2,30.64908,-35961.0,23469.0,0.12064875465538716,392.7265862023453,392.72660473447706,59430.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse7_Cable1_CTRL_2026-03-09_11-59-34_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-14_11-51-43_DIFF_Ch3_minus_Ch4.npy,19.0,31.05,30.332706666666663,-6203.0,13299.0,1.8421628930355924,246.14789694977335,246.154790196983,19502.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse7_Cable1_CTRL_2026-03-14_11-51-43_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,24.0,30.3,30.594293333333333,-3822.0,6235.0,-0.07429925929541543,214.807005078067,214.80701792769406,10057.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-27_11-12-28_DIFF_Ch3_minus_Ch4.npy,32.0,28.72,30.497306666666667,-3104.0,3408.0,0.003866133752576184,267.5317027302361,267.53170275817104,6512.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse7_Cable1_CTRL_2026-03-27_11-12-28_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-04-01_11-18-33_DIFF_Ch3_minus_Ch4.npy,,29.0,20.518946666666668,-1421.0,1892.0,0.18171563062691326,190.51019010642605,190.51027676993442,3313.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse7_Cable1_CTRL_2026-04-01_11-18-33_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-30_10-51-09_DIFF_Ch3_minus_Ch4.npy,35.0,28.2,20.562720000000002,-9344.0,6001.0,0.6674395864619727,216.05724823493804,216.0582791527675,15345.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse7_Cable1_CTRL_2026-03-30_10-51-09_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-06_11-51-01_DIFF_Ch3_minus_Ch4.npy,11.0,30.65,30.357866666666666,-5574.0,3715.0,0.00984434567207182,221.02819826945287,221.02819848868077,9289.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse8_Cable1_CTRL_2026-03-06_11-51-01_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-11_11-51-53_DIFF_Ch3_minus_Ch4.npy,16.0,29.77,30.07242666666667,-12654.0,13384.0,0.005954069996346598,254.83739421875813,254.83739428831413,26038.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse8_Cable1_CTRL_2026-03-11_11-51-53_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-17_11-09-26_DIFF_Ch3_minus_Ch4.npy,22.0,29.2,30.26246666666667,-5353.0,12552.0,0.2642362266129441,248.13656530212367,248.136705992319,17905.0,/Users/amanlizahra/Desktop/thesis_lfp_analysis/outputs/03a_differential_npy_filtered_Cable1/Mouse8_Cable1_CTRL_2026-03-17_11-09-26_DIFF_Ch3_minus_Ch4.npy,False,False,False,False
