mouse,group,differential_file,days_on_diet,body_weight,total_power
2,CTRL,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,9.0,32.13,919786.4706051209
2,CTRL,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,14.0,31.5,236439.68625127082
2,CTRL,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,19.0,30.65,664841.5360751676
2,CTRL,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,24.0,30.6,246653.80441269433
2,CTRL,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,32.0,30.65,647516.5531236306
2,CTRL,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,,31.13,629768.7512896681
2,CTRL,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,35.0,29.6,103747.38599943115
5,CTRL,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,11.0,30.95,235587.2736867683
5,CTRL,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,16.0,29.77,45894.240739588466
5,CTRL,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,22.0,29.33,48043.512470986665
5,CTRL,Mouse5_Cable1_CTRL_2026-03-24_12-38-34_DIFF_Ch2_minus_Ch3.npy,29.0,29.17,6992.3088257384525
5,CTRL,Mouse5_Cable1_CTRL_2026-04-01_10-55-04_DIFF_Ch2_minus_Ch3.npy,,29.7,7169.910869124645
5,CTRL,Mouse5_Cable1_CTRL_2026-03-30_10-27-44_DIFF_Ch2_minus_Ch3.npy,35.0,28.9,6684.398581732552
7,CTRL,Mouse7_Cable1_CTRL_2026-03-04_11-40-58_DIFF_Ch3_minus_Ch4.npy,9.0,31.0,219064.06934145815
7,CTRL,Mouse7_Cable1_CTRL_2026-03-09_11-59-34_DIFF_Ch3_minus_Ch4.npy,14.0,30.2,593201.5129643317
7,CTRL,Mouse7_Cable1_CTRL_2026-03-14_11-51-43_DIFF_Ch3_minus_Ch4.npy,19.0,31.05,232477.4581873877
7,CTRL,Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,24.0,30.3,174145.39510605787
