mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,delta_abs,delta_rel,theta_abs,theta_rel,beta_abs,beta_rel,low_gamma_abs,low_gamma_rel,high_gamma_abs,high_gamma_rel,fast_gamma_abs,fast_gamma_rel,total_power
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,32.13,interpolated,B,23902293.602231618,0.4996972021646095,5960328.278841683,0.26886909306792733,415606.5065157302,0.050698103843696725,105232.91125862408,0.025786449136789402,26187.76323106245,0.00857660883538214,10747.348026351885,0.003579687772122344,919786.4706051209
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,31.5,measured,B,3341770.581231602,0.25903111886069635,2536171.902607889,0.44586247078600827,140796.47624714766,0.0645114945202155,46919.44857674459,0.04347996146302618,14580.155854343471,0.017949279075931985,6100.369413190704,0.007634184925855806,236439.68625127082
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,30.65,interpolated,B,5299671.456595112,0.1423165648896022,7250694.485040153,0.44782430682830365,624731.9246646324,0.10051680780365774,228705.817776419,0.07400093044177083,103720.84214087995,0.044783197155068476,28141.232976014548,0.012316174391457194,664841.5360751676
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.6,measured,B,3351756.383600703,0.24833433944506966,2195980.2922271774,0.36698714703101276,222210.52083306893,0.09845560088533262,89646.24830075579,0.0796569215319304,25730.8954923452,0.03035214487346837,9137.88366467399,0.010948635353238334,246653.80441269433
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,30.65,interpolated,A,17447362.42574928,0.5093059371828048,3233226.53511677,0.22761782576505327,369171.90699937905,0.06914336154923943,130219.45531121767,0.048834113445591125,53861.32737241613,0.026936580570224817,17495.063324918436,0.00887606608632477,647516.5531236306
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,31.13,interpolated,A,12038894.038297208,0.35677305476100324,4573059.002749368,0.3086723524393983,464153.04550560436,0.08207011686707162,179783.9924875079,0.06401067830474784,71674.19225753042,0.03404180225997534,28832.444667705488,0.013909078116136326,629768.7512896681
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,29.6,measured,D,1515711.7340823025,0.2650882323561624,789275.1303149747,0.316159415525805,105770.91046403116,0.11252563678404841,43953.22796901509,0.09332379295845492,16420.963805282394,0.04638690604225932,7487.538688512107,0.021484785546775156,103747.38599943115
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,2026-03-06,diet,11.0,,30.95,interpolated,D,2148982.567244909,0.16144456496976203,2200891.3572146175,0.38362295514989164,320090.7605865192,0.14652184716014643,75659.36101254643,0.0692478115372999,21886.740830820647,0.026738564406488117,8569.23138241177,0.010650337506379186,235587.2736867683
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,667322.9470084962,0.2555488746176252,439150.34464540024,0.41194123206298533,30150.514108681633,0.0734003450130824,10600.580783800498,0.0520203224176334,4957.855314616533,0.03242913351925453,2646.1504353910955,0.017587219583428862,45894.240739588466
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,29.33,interpolated,C,670519.9272209455,0.24564865032053906,498504.18469780765,0.4443380551493314,29700.68831404032,0.06854850727889235,9802.730631606833,0.04561193040046111,4185.02738171711,0.025942337787836504,2100.3888114283145,0.01323164720319318,48043.512470986665
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-24_12-38-34_DIFF_Ch2_minus_Ch3.npy,2026-03-24,diet,29.0,,29.17,interpolated,D,240409.7916717794,0.6676891274756288,18376.089349409613,0.13300026374563684,2144.186362075761,0.041454977846860044,980.4954674290348,0.038129506284409614,562.7903348343885,0.029171612109816766,429.2265153608233,0.022617743781915094,6992.3088257384525
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-04-01_10-55-04_DIFF_Ch2_minus_Ch3.npy,2026-04-01,recovery,,2.0,29.7,interpolated,B,236202.28977745227,0.6336239753863071,21284.848966071993,0.1462339293966111,2576.10109773655,0.047323126139761064,1109.6290503509736,0.041067845453483666,624.175382265936,0.03079887072163282,469.7726082065153,0.023559921189285255,7169.910869124645
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-30_10-27-44_DIFF_Ch2_minus_Ch3.npy,2026-03-30,diet,35.0,,28.9,measured,D,222330.34873450347,0.6398336591278769,19149.723804514117,0.14239333629422668,2279.33440520348,0.04535564361462857,1052.670599303649,0.042130533617471,598.2849820027649,0.03192063587653825,447.89797756927055,0.024295626351293582,6684.398581732552
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-04_11-40-58_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,31.0,interpolated,C,2744149.958435773,0.2271771268833892,1730957.4586673297,0.32127773482744,164019.2479782996,0.08166091039586829,110660.33099201824,0.11119559184105063,39119.671518790805,0.052012517595447824,19564.066362036036,0.026428469272450267,219064.06934145815
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-09_11-59-34_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,30.2,measured,D,10294732.426675376,0.3210267462414831,4828320.745553347,0.33087640098396576,477201.8983142217,0.08757620951435625,122332.49514149327,0.04510513145060445,47852.144496067864,0.02357000318445912,21322.956512993947,0.010679720692121452,593201.5129643317
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-14_11-51-43_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,31.05,interpolated,D,2399840.3133458807,0.18441228163245987,2211288.1747073205,0.39158635609947173,184562.0028399705,0.08611034433140387,88637.29940514604,0.08301149401833731,41583.13889827459,0.051789662819773916,20342.12436458205,0.025763678501633844,232477.4581873877
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.3,measured,C,1906878.2094322878,0.19578336966519042,1289053.7088771907,0.30245629692991133,251004.3080734515,0.1586169273229087,76304.37756714861,0.09537546589459485,33629.71799938124,0.056094670184939244,15779.882927550972,0.026742910807944626,174145.39510605787
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-27_11-12-28_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,28.72,interpolated,D,3261525.5553070838,0.2197680810071521,1924963.834908257,0.2902014936004916,287610.86979194847,0.11655730818062104,124274.85328223556,0.10069586519367586,58917.24785777377,0.06373305065227397,27241.05796229321,0.02992314285499382,268741.05459647696
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-04-01_11-18-33_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.0,interpolated,A,1666680.6821807935,0.22422153289278884,935945.8487920889,0.2861396448161416,142174.2884138289,0.11642922620285384,65831.34526408969,0.10768269430113497,34868.44262828226,0.07611627772592239,16306.856564964142,0.03614394303327289,133811.0700203223
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-30_10-51-09_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.2,measured,D,1955698.353587556,0.19726026268737215,1350402.713191597,0.31027552269690045,207024.61051475472,0.1264182117367262,75514.00692240031,0.09247447308590283,35191.59189895629,0.057443587696662246,15967.208421513991,0.02648475326222479,177670.95816975075
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-06_11-51-01_DIFF_Ch3_minus_Ch4.npy,2026-03-06,diet,11.0,,30.65,interpolated,C,1908907.7069607056,0.1859641048141563,1781524.9616542547,0.4000515545092601,168101.16377659,0.09990326312278443,57923.6987839799,0.0689698540384198,22070.407560360818,0.03496881242920052,11142.990752189799,0.017953671972977737,183184.4648757839
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-11_11-51-53_DIFF_Ch3_minus_Ch4.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,3251259.4657177418,0.22980739375531622,2467013.8557757484,0.39698485830484026,207883.7210838529,0.08790090396903016,93605.48067280572,0.08004746872627892,19266.926470859577,0.02179396393766776,8475.152909021692,0.009741946849110648,256748.30281775637
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-17_11-09-26_DIFF_Ch3_minus_Ch4.npy,2026-03-17,diet,22.0,,29.2,interpolated,D,1484198.3743965984,0.10279965513220567,3279574.9531250955,0.5303731742854795,200397.33178522455,0.08447273324629165,56031.941038043886,0.047403651342933,22822.95247444848,0.025753767573188188,8113.400857106031,0.009299621742737746,252666.2265508176
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-24_13-14-52_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,29.57,interpolated,B,3314675.8298941893,0.05969834955583619,14042519.38116394,0.5773544235588434,712276.3088023312,0.07651480417781972,139033.10816882105,0.02992385575133772,61801.291958024194,0.01781222659230699,8255.561385822492,0.002410080412192352,980769.6140821724
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-04-01_11-42-11_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.73,interpolated,A,2759256.194257073,0.05666179527564857,12947088.87478601,0.614216770846981,577842.5444660925,0.07096930561116752,113287.68848792405,0.02785311605132874,53208.080072136116,0.017531015835211994,8387.980691395878,0.0027994317348520375,857781.3406997646
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-30_11-14-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.6,measured,D,2707673.5610432993,0.053011027905634465,13078767.31769439,0.586280641739362,625158.4629004315,0.07367191483732193,121157.00699986903,0.02855394806801754,44497.69270191384,0.014007948211608782,7405.79677838173,0.002363112557537322,896798.4843878323
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,2026-02-19,baseline,,,30.5,baseline,D,2972098.0773834516,0.18016809186714802,2906443.9007394495,0.4069016851448993,293164.8288117616,0.1058981053269335,94680.43579726577,0.06870510650306502,44411.9998259139,0.04302710709115641,30549.168991478295,0.030135380064325295,297404.72150655766
