mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,32.13,interpolated,B,0.2493621900069541,-0.6031693965518816,0.017655556260581476,-1.7531185948895933,0.004393677999922468,-2.3571717744480667,0.0018031469951921002,-2.743968867510215,0.06972879463553612,-1.1565878421471527
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,31.5,measured,B,0.7589305851370528,-0.11979794461908894,0.01850010582031067,-1.7328257874323614,0.005748883125529079,-2.2404165204466926,0.0024053453974936913,-2.6188225519491644,0.05551535213459694,-1.2555869011049519
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,30.65,interpolated,B,1.3681403733088238,0.13613065895270468,0.03154260853884984,-1.5011023938484822,0.014304952767611415,-1.844513571818844,0.003881177593963774,-2.411036484465897,0.08616166712769345,-1.0646859065374503
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.6,measured,B,0.6551730021225749,-0.1836440069600366,0.040822883801855975,-1.3890963191938008,0.011717270680170248,-1.9311735373435928,0.004161186553913145,-2.3807828135223845,0.10118966987982463,-0.9948638209268352
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,30.65,interpolated,A,0.18531319842047234,-0.7320936481551815,0.04027538865491673,-1.3949602599746342,0.01665869272920306,-1.7783590823271458,0.0054110230554218165,-2.26672061561073,0.11418064988324308,-0.9424074894436892
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,31.13,interpolated,A,0.37985706894685695,-0.4203797871850693,0.03931372684660749,-1.405455784157605,0.015673139623704656,-1.8048439974898254,0.006304848603608906,-2.2003253375455625,0.1014972790043931,-0.9935456004031548
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,29.6,measured,D,0.5207290493088691,-0.2833881941648251,0.05568809440565389,-1.2542376430057116,0.02080512000768263,-1.6818297747749495,0.00948660156759794,-2.022889339181867,0.13401019036520426,-0.872862175880665
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,2026-03-06,diet,11.0,,30.95,interpolated,D,1.0241550540059792,0.01036571250062013,0.03437669050066091,-1.4637359358654898,0.009944489426556635,-2.002417509665867,0.003893527662926867,-2.4096567353600733,0.1454368747177128,-0.8373254665439656
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,0.6580776917893236,-0.18172283112221754,0.024138842000363512,-1.6172835679136888,0.011289653703038402,-1.9473193793474937,0.006025613933031925,-2.2199986974427897,0.06865647374824949,-1.1633185060516051
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,29.33,interpolated,C,0.7434591642397882,-0.12874288085066307,0.01966428955365586,-1.7063217394907215,0.008395170010968045,-2.0759705045196593,0.004213382506912286,-2.3753691121761347,0.05957961683319633,-1.2249022941347982
