mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,32.13,interpolated,B,0.2493621900069541,-0.6031693965518816,0.0176555562605814,-1.753118594889593,0.0043936779999224,-2.3571717744480667,0.0018031469951921,-2.743968867510215,0.0697287946355361,-1.1565878421471527,10.996596354694553,0.2816722891566265,261.53930311687367,0.051623941135970484,332,121.41265255430659,7.585001702485099,0.21773275109170304,220.31048356216792,0.027525054795288863,229,101.08780531704501,6.293232853590256,0.17650526315789475,141.84280874447518,0.018513145348947616,190,71.21073312796443
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,31.5,measured,B,0.7589305851370528,-0.1197979446190889,0.0185001058203106,-1.7328257874323614,0.005748883125529,-2.2404165204466926,0.0024053453974936,-2.6188225519491644,0.0555153521345969,-1.255586901104952,5.049061136917423,0.14556883116883118,168.27351547485205,0.01224976547001732,154,135.07310779559668,5.3113500271469,0.19012839506172838,119.19671876296509,0.01683064093787513,162,111.35430934329875,2.426172234622658,0.12651891891891892,80.4669841764427,0.0051159448039259404,74,70.49026081691864
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,30.65,interpolated,B,1.3681403733088238,0.1361306589527046,0.0315426085388498,-1.5011023938484822,0.0143049527676114,-1.844513571818844,0.0038811775939637,-2.411036484465897,0.0861616671276934,-1.0646859065374503,4.5907284216229165,0.15711205673758866,353.19702086694116,0.012020979737414676,141,290.8948629404141,4.851195282424217,0.13673557046979865,262.8378667503285,0.011055515906711189,149,244.84863386474126,4.167469772820803,0.13503125,203.99801894047732,0.009378977546020153,128,182.46195303335327
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.6,measured,B,0.6551730021225749,-0.1836440069600366,0.0408228838018559,-1.3890963191938008,0.0117172706801702,-1.9311735373435928,0.0041611865539131,-2.3807828135223845,0.1011896698798246,-0.9948638209268352,6.064376504771748,0.17018579234972678,212.45896610993952,0.01720117867619411,183,167.57790944968127,5.037077752597299,0.16899999999999998,164.6630327930901,0.014187769003149057,152,156.40578452372054,3.015618917673383,0.12869450549450548,93.84689740924453,0.006468226422830865,91,95.40397856660078
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,30.65,interpolated,A,0.1853131984204723,-0.7320936481551815,0.0402753886549167,-1.3949602599746342,0.016658692729203,-1.7783590823271458,0.0054110230554218,-2.26672061561073,0.114180649883243,-0.9424074894436892,3.866469192759873,0.17176271186440675,296.9762049264048,0.011068587231476992,118,219.4184543321399,3.1456020551266763,0.14970000000000003,201.29597921666277,0.007848277127541057,96,186.33659319102492,3.3422021835720934,0.13138039215686273,145.9572028900928,0.007318330559087077,102,137.9431152533911
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,31.13,interpolated,A,0.3798570689468569,-0.4203797871850693,0.0393137268466074,-1.405455784157605,0.0156731396237046,-1.8048439974898256,0.0063048486036089,-2.2003253375455625,0.1014972790043931,-0.9935456004031548,13.220834097418983,0.17058754578754579,304.0196521750287,0.03758849403238346,273,231.48467042955735,12.300702786609603,0.1515968503937008,227.73700656908179,0.03107913000131724,254,207.44196276234794,12.68812649642408,0.1510320610687023,154.04830479203264,0.031938564930922356,262,146.8898626386354
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,29.6,measured,D,0.5207290493088691,-0.2833881941648251,0.0556880944056538,-1.2542376430057116,0.0208051200076826,-1.6818297747749495,0.0094866015675979,-2.022889339181867,0.1340101903652042,-0.872862175880665,8.122365437877201,0.2508402366863905,156.81973470684807,0.03395693448150792,169,112.42042195014137,4.181336053818441,0.14876321839080459,132.95674175683718,0.01036715014232563,87,105.61985255154784,3.4604160445393997,0.13068888888888888,97.8479751900605,0.007537298799235633,72,71.77993412308173
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,2026-03-06,diet,11.0,,30.95,interpolated,D,1.0241550540059792,0.0103657125006201,0.0343766905006609,-1.4637359358654898,0.0099444894265566,-2.002417509665867,0.0038935276629268,-2.4096567353600733,0.1454368747177128,-0.8373254665439656,6.193217738441103,0.21290322580645157,226.42213157769885,0.02197593391059746,186,130.47908116747442,4.561671129927049,0.1755036496350365,178.2703115592602,0.01334316552894963,137,98.41480329386553,3.8291399995738002,0.14075130434782607,143.92294522481404,0.00898260749117411,115,70.8923963600106
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,0.6580776917893236,-0.1817228311222175,0.0241388420003635,-1.6172835679136888,0.0112896537030384,-1.9473193793474937,0.0060256139330319,-2.2199986974427897,0.0686564737482494,-1.1633185060516051,3.3843477676134284,0.14607058823529412,73.36921993917942,0.008239227820134967,102,63.666858133810045,2.4221312454488264,0.12711232876712328,56.77185550943366,0.0051313790531435505,73,53.588486984565634,1.9576129244038458,0.12558644067796612,39.192517437125375,0.004097493990017722,59,41.94611489287297
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,29.33,interpolated,C,0.7434591642397882,-0.128742880850663,0.0196642895536558,-1.7063217394907215,0.008395170010968,-2.0759705045196593,0.0042133825069122,-2.3753691121761347,0.0595796168331963,-1.2249022941347982,4.124384335854382,0.14615483870967744,78.64501730094715,0.010046645456391954,124,62.56441206121351,2.52784846391075,0.1334,62.502773793143945,0.005620249751428235,76,50.627157188380565,2.1952368239224933,0.12356363636363635,39.391963307457694,0.004520857410720384,66,38.31977560662562
