tier,outcome,effect,coef,se,ci_low,ci_high,p_value,p_fdr,n_obs,n_groups,group_var,residual_var,converged
primary,log_delta_abs,Intercept,5.2264598936143765,0.7264348871919083,3.802673677604819,6.650246109623934,6.26116305029219e-13,,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_delta_abs,group[T.HF],-0.7805795388038359,0.2436875454779812,-1.2581983514216455,-0.30296072618602626,0.0013591034730387965,0.014950138203426762,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_delta_abs,C(estrous_phase)[T.B],-0.04210885014020332,0.10711016716702769,-0.25204092016564217,0.16782321988523555,0.6942191226464236,,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_delta_abs,C(estrous_phase)[T.C],-0.19443538030980084,0.12728776074690296,-0.44391480704648184,0.055044046426880155,0.12663023524884262,,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_delta_abs,C(estrous_phase)[T.D],-0.045963393371237324,0.10675192731801889,-0.25519332619479185,0.16326653945231723,0.6667863993596003,,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_delta_abs,days_on_diet,-0.016640135686841008,0.005384038731375671,-0.027192657691706045,-0.006087613681975971,0.001997243475774943,,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_delta_abs,group[T.HF]:days_on_diet,0.020391681036327672,0.007318264411866169,0.006048146359728779,0.034735215712926565,0.005329550749243698,,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_delta_abs,body_weight,0.05350758126780384,0.022226747350460423,0.009943956967430341,0.09707120556817733,0.01606872007895244,,89,19,0.0643086018094863,0.0879417012724752,True
primary,log_theta_abs,Intercept,4.491293366786803,1.17956331590604,2.1793917501263227,6.803194983447284,0.0001403277327949058,,89,19,0.224766900574015,0.15478349809116346,True
primary,log_theta_abs,group[T.HF],-0.60176066903224,0.37332426919980877,-1.333462791218601,0.12994145315412098,0.10698412224270713,0.2353650689339557,89,19,0.224766900574015,0.15478349809116346,True
primary,log_theta_abs,C(estrous_phase)[T.B],0.15217467127688292,0.1435797650084675,-0.12923649704843768,0.43358583960220354,0.28920759350311176,,89,19,0.224766900574015,0.15478349809116346,True
primary,log_theta_abs,C(estrous_phase)[T.C],-0.08773555866989967,0.1700956526730606,-0.42111691183593264,0.24564579449613327,0.6059931949317916,,89,19,0.224766900574015,0.15478349809116346,True
primary,log_theta_abs,C(estrous_phase)[T.D],-0.05383195741996305,0.1425976533327845,-0.3333182222321487,0.2256543073922226,0.7057950651445533,,89,19,0.224766900574015,0.15478349809116346,True
primary,log_theta_abs,days_on_diet,-0.012035151650736188,0.007358249928274237,-0.026457056499398127,0.0023867531979257523,0.10192338536534397,,89,19,0.224766900574015,0.15478349809116346,True
primary,log_theta_abs,group[T.HF]:days_on_diet,0.013766724440677275,0.009768312470840866,-0.005378816191904287,0.03291226507325884,0.1587391663688903,,89,19,0.224766900574015,0.15478349809116346,True
primary,log_theta_abs,body_weight,0.06376938181746299,0.036404546903995284,-0.007582218987866901,0.13512098262279287,0.0798275949576124,,89,19,0.224766900574015,0.15478349809116346,True
primary,log_beta_abs,Intercept,3.8529417455052886,1.0095971613575638,1.8741676703505898,5.831715820659987,0.0001354590338900532,,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_beta_abs,group[T.HF],-0.5346364839143086,0.32513136422731564,-1.1718822480442217,0.10260928021560456,0.10009965675170822,0.2353650689339557,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_beta_abs,C(estrous_phase)[T.B],0.052365604162393393,0.13363495647566984,-0.20955409760549715,0.3142853059302839,0.6951649211509439,,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_beta_abs,C(estrous_phase)[T.C],-0.09655754340821254,0.1584506261326176,-0.40711506395596414,0.21399997713953905,0.5422688238228187,,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_beta_abs,C(estrous_phase)[T.D],-0.055268438358654276,0.1328149638842906,-0.3155809841798518,0.20504410746254328,0.6773140663065911,,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_beta_abs,days_on_diet,-0.005369027620808928,0.006777342428267808,-0.018652374691109065,0.007914319449491211,0.42824261061577773,,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_beta_abs,group[T.HF]:days_on_diet,0.014956944564340862,0.009099599486392234,-0.0028779427027270897,0.03279183183140881,0.10023971016046745,,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_beta_abs,body_weight,0.05129837429761611,0.031038759001268835,-0.00953647546968922,0.11213322406492145,0.09838788490247266,,89,19,0.14274697685516674,0.1349962694726051,True
primary,log_low_gamma_abs,Intercept,3.525028381997993,0.8658477961100866,1.8279978855288435,5.222058878467143,4.6774159772682914e-05,,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_low_gamma_abs,group[T.HF],-0.4753731990301098,0.28167570884408377,-1.0274474436843044,0.0767010456240847,0.09147626056573202,0.2353650689339557,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_low_gamma_abs,C(estrous_phase)[T.B],0.04914713636174897,0.11608229069895724,-0.17836997265111612,0.2766642453746141,0.6720166763407809,,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_low_gamma_abs,C(estrous_phase)[T.C],-0.038071960138700976,0.13797039581011097,-0.3084889668592544,0.23234504658185248,0.7825918730296348,,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_low_gamma_abs,C(estrous_phase)[T.D],-0.036603818864035416,0.11557535675046426,-0.2631273555953136,0.18991971786724277,0.7514640040977079,,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_low_gamma_abs,days_on_diet,-0.006923843677491348,0.005876439996254445,-0.01844145442746075,0.004593767072478054,0.23870182069284918,,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_low_gamma_abs,group[T.HF]:days_on_diet,0.01070823264059641,0.007916482845138862,-0.004807788620104938,0.02622425390129776,0.17616738531696263,,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_low_gamma_abs,body_weight,0.046694713089049614,0.026639197384723992,-0.005517154362063008,0.09890658054016224,0.07962649506201507,,89,19,0.10706585258027858,0.10211182127138449,True
primary,log_high_gamma_abs,Intercept,3.359392103009189,0.763268885593997,1.8634125767249319,4.855371629293446,1.0759333650793278e-05,,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_high_gamma_abs,group[T.HF],-0.36540260509895617,0.24796772178690443,-0.851410409129737,0.12060519893182464,0.1405921784616768,0.2577523271797408,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_high_gamma_abs,C(estrous_phase)[T.B],0.06265647107116887,0.10125850591748628,-0.13580655365544017,0.26111949579777793,0.536063038196005,,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_high_gamma_abs,C(estrous_phase)[T.C],-0.07068141704948509,0.12001573252003538,-0.30590793036694697,0.1645450962679768,0.555905148296236,,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_high_gamma_abs,C(estrous_phase)[T.D],-0.02471818238131694,0.10070520501367866,-0.2220967572638496,0.17266039250121573,0.8061073279011531,,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_high_gamma_abs,days_on_diet,-0.005459952380130156,0.005139014948558248,-0.015532236595317283,0.00461233183505697,0.2880309201078839,,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_high_gamma_abs,group[T.HF]:days_on_diet,0.006825692749887096,0.006914806420333305,-0.006727078794032516,0.020378464293806707,0.3235874269149519,,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_high_gamma_abs,body_weight,0.03687280434442689,0.02351504230439109,-0.009215831667115398,0.08296144035596918,0.11686904462530158,,89,19,0.08517951913933237,0.07794359621973809,True
primary,log_fast_gamma_abs,Intercept,3.0307945906379623,0.6173507722598659,1.820809311180636,4.240779870095288,9.137606383262889e-07,,89,19,0.05851021696806828,0.04775951835951308,True
primary,log_fast_gamma_abs,group[T.HF],-0.4461406554541744,0.19876744863931983,-0.8357176960861563,-0.056563614822192576,0.024797947834596663,0.13638871309028164,89,19,0.05851021696806828,0.04775951835951308,True
primary,log_fast_gamma_abs,C(estrous_phase)[T.B],-0.005139841384482768,0.07940545467660293,-0.1607716727266521,0.1504919899576866,0.9483897153306764,,89,19,0.05851021696806828,0.04775951835951308,True
primary,log_fast_gamma_abs,C(estrous_phase)[T.C],-0.0612951738030497,0.09431247559989461,-0.24614422927165577,0.12355388166555639,0.515746572100189,,89,19,0.05851021696806828,0.04775951835951308,True
primary,log_fast_gamma_abs,C(estrous_phase)[T.D],-0.03299140450282388,0.07907713127786001,-0.18797973380817534,0.12199692480252756,0.6765281913020376,,89,19,0.05851021696806828,0.04775951835951308,True
