outcome,label,n_obs,n_mice,resid_skew,resid_std,fitted_range,shapiro_p,var_mouse,var_resid,ICC,n_re_outliers
log_delta_abs,Delta (1-4 Hz),89,19,0.6524302327478914,0.2611000861770205,1.306811349365626,0.0025061489223353584,0.0643086018094863,0.0879417012724752,0.42238734838423797,1
log_theta_abs,Theta (4-10 Hz),89,19,-0.03188924647098476,0.3419273167692377,1.8206394526694272,0.573385976315816,0.224766900574015,0.15478349809116346,0.5921925029310634,1
log_beta_abs,Beta (15-30 Hz),89,19,-0.046151246246580575,0.3210833699358235,1.5329380356308056,0.1786792069330554,0.14274697685516674,0.1349962694726051,0.5139530078319435,1
log_low_gamma_abs,Low gamma (30-60 Hz),89,19,0.09932879756320073,0.2792954100660954,1.3866367950863037,0.04751905388879391,0.10706585258027858,0.10211182127138449,0.511841682761056,1
log_high_gamma_abs,High gamma (60-100 Hz),89,19,-0.03171589892019488,0.2438264894752654,1.2084798885611119,0.026330499236469282,0.08517951913933237,0.07794359621973809,0.5221793303287102,1
log_fast_gamma_abs,Fast gamma (100-140 Hz),89,19,-0.17602584790421866,0.1904727558891876,1.2409603621662608,0.14237794793334352,0.05851021696806828,0.04775951835951308,0.5505821275239638,1
log_theta_delta,theta/delta,89,19,-0.2211974346803131,0.2331046636771536,0.9209228595569122,0.061121909552004416,0.06183395232824318,0.07062879782646382,0.4668025709569336,2
log_low_gamma_theta,low gamma/theta,89,19,-0.718659694483303,0.17428666508025165,0.8559502931189855,0.0018711895383712403,0.05286253142983407,0.04008806579941651,0.5687164257746026,1
log_high_gamma_theta,high gamma/theta,89,19,-0.4217021945684406,0.18748405011704125,0.9812237382147329,0.004621973680059698,0.06766786260708307,0.046537592103745695,0.5925099004983596,1
log_fast_gamma_theta,fast gamma/theta,89,19,-0.33327953347845807,0.24080327591163975,1.2900028298066453,0.09029155086539246,0.1241265659184559,0.07701701607017687,0.6171042828772467,1
log_beta_theta,beta/theta,89,19,0.18827592540852564,0.14689057020978039,0.8807457889823114,0.2444011897700168,0.03817088058726044,0.02849081894134491,0.5726058719952204,1
