outcome,label,mean_CTRL,mean_HF,n_CTRL,n_HF,pooled_sd,cohens_d_classical,cohens_d_classical_label,cohens_d_adjusted,cohens_d_adjusted_label,beta_from_model,var_mouse,var_resid,p_raw,p_fdr
log_delta_abs,Delta (1-4 Hz),6.363135556172119,6.323526661574892,47,42,0.4266500055021149,-0.09283697195928077,negligible,-2.0004978090937846,very large,-0.7805795388038359,0.0643086018094863,0.0879417012724752,0.0013591034730387,0.0149501382034267
log_theta_abs,Theta (4-10 Hz),6.096924205680121,6.153442397048619,47,42,0.6197456642752837,0.09119578340993903,negligible,-0.9767627141027543,large,-0.60176066903224,0.224766900574015,0.1547834980911634,0.1069841222427071,0.2353650689339557
log_beta_abs,Beta (15-30 Hz),5.220970817359327,5.281921127974278,47,42,0.5187798200573495,0.11748782095690007,negligible,-1.0144644632677118,large,-0.5346364839143086,0.1427469768551667,0.1349962694726051,0.1000996567517082,0.2353650689339557
log_low_gamma_abs,Low gamma (30-60 Hz),4.7400658298900105,4.7503895878900995,47,42,0.4580497149807159,0.0225385098220695,negligible,-1.0393863965888845,large,-0.4753731990301098,0.1070658525802785,0.1021118212713844,0.091476260565732,0.2353650689339557
log_high_gamma_abs,High gamma (60-100 Hz),4.314330069373866,4.304996206377082,47,42,0.40413965823549175,-0.02309563737826798,negligible,-0.9047193639484837,large,-0.3654026050989561,0.0851795191393323,0.077943596219738,0.1405921784616768,0.2577523271797408
log_fast_gamma_abs,Fast gamma (100-140 Hz),3.967680035018654,3.950060406752901,47,42,0.3436786638660897,-0.05126773965991182,negligible,-1.3685699552341322,very large,-0.4461406554541744,0.0585102169680682,0.047759518359513,0.0247979478345966,0.1363887130902816
log_theta_delta,theta/delta,-0.26621135049199707,-0.17008426452627318,47,42,0.3507685475685023,0.27404705077484476,small,0.598784385489416,medium,0.2179301664041244,0.0618339523282431,0.0706287978264638,0.3339393995312119,0.4591666743554163
log_low_gamma_theta,low gamma/theta,-1.3568583757901098,-1.4030528091585193,47,42,0.2984137092572485,-0.15479997042826,negligible,0.36038588305046837,small,0.109873728638781,0.052862531429834,0.0400880657994165,0.5534689982020597,0.6098306117349719
log_high_gamma_theta,high gamma/theta,-1.782594136306254,-1.8484461906715357,47,42,0.3320201929232697,-0.1983374980463918,negligible,0.6751765559800966,medium,0.2281711743367691,0.067667862607083,0.0465375921037456,0.2653609661495237,0.4169958039492516
log_fast_gamma_theta,fast gamma/theta,-2.129244170661467,-2.203381990295717,47,42,0.42713691967739503,-0.17356921450443571,negligible,0.3565200227581682,small,0.1598957849975596,0.1241265659184559,0.0770170160701768,0.5543914652136108,0.6098306117349719
log_beta_theta,beta/theta,-0.8759533883207935,-0.8715212690743405,47,42,0.26616999150815984,0.01665146105066154,negligible,0.17561191838316104,negligible,0.0453411131417408,0.0381708805872604,0.0284908189413449,0.7722165739153413,0.7722165739153413
