outcome,label,n_CTRL,n_HF,median_CTRL,median_HF,U_stat,p_mann_whitney,rank_biserial,mm_coef,mm_p_raw,mm_p_fdr,mw_significant_p05,mm_significant_pfdr
log_delta_abs,Delta (1-4 Hz),47,42,6.3862537931469685,6.287983154111226,958.0,0.8148072066296679,-0.029381965552178313,-0.7805795388038359,0.0013591034730387,0.0149501382034267,False,True
log_theta_abs,Theta (4-10 Hz),47,42,6.192803359812047,6.159493964745918,1012.0,0.8404211950321525,0.025329280648429542,-0.60176066903224,0.1069841222427071,0.2353650689339557,False,False
log_beta_abs,Beta (15-30 Hz),47,42,5.266142294439065,5.340717613788325,1020.0,0.7893896735060174,0.033434650455927084,-0.5346364839143086,0.1000996567517082,0.2353650689339557,False,False
log_low_gamma_abs,Low gamma (30-60 Hz),47,42,4.786667825045586,4.814136701526795,936.0,0.6781145676333625,-0.05167173252279633,-0.4753731990301098,0.091476260565732,0.2353650689339557,False,False
log_high_gamma_abs,High gamma (60-100 Hz),47,42,4.390948834355732,4.3238911296716545,908.0,0.5188254129507807,-0.08004052684903751,-0.3654026050989561,0.1405921784616768,0.2577523271797408,False,False
log_fast_gamma_abs,Fast gamma (100-140 Hz),47,42,4.017305749775385,3.936578082000945,875.0,0.359473087397435,-0.11347517730496459,-0.4461406554541744,0.0247979478345966,0.1363887130902816,False,False
log_theta_delta,theta/delta,47,42,-0.2560431800445077,-0.2516057102272457,1059.0,0.5567825990430978,0.07294832826747721,0.2179301664041244,0.3339393995312119,0.4591666743554163,False,False
log_low_gamma_theta,low gamma/theta,47,42,-1.259870021120824,-1.3727083672212919,910.0,0.529532426233036,-0.07801418439716312,0.109873728638781,0.5534689982020597,0.6098306117349719,False,False
log_high_gamma_theta,high gamma/theta,47,42,-1.7402837453516211,-1.8687988662659367,872.0,0.3466919152123965,-0.11651469098277611,0.2281711743367691,0.2653609661495237,0.4169958039492516,False,False
log_fast_gamma_theta,fast gamma/theta,47,42,-2.0427178170545734,-2.1616339407885516,886.0,0.408823718418468,-0.10233029381965553,0.1598957849975596,0.5543914652136108,0.6098306117349719,False,False
log_beta_theta,beta/theta,47,42,-0.869200348491463,-0.8492559741381125,1018.0,0.802072259175933,0.03140830800405259,0.0453411131417408,0.7722165739153413,0.7722165739153413,False,False
