feature_set,model,metric,value
lfp_only,logistic_regression,balanced_accuracy,0.43846153846153846
lfp_only,logistic_regression,roc_auc,0.44820512820512826
lfp_only,logistic_regression,accuracy,0.44
lfp_only,svm_rbf,balanced_accuracy,0.46282051282051284
lfp_only,svm_rbf,roc_auc,0.348974358974359
lfp_only,svm_rbf,accuracy,0.464
lfp_only,random_forest,balanced_accuracy,0.36730769230769234
lfp_only,random_forest,roc_auc,0.3123076923076923
lfp_only,random_forest,accuracy,0.368
lfp_plus_estrous,logistic_regression,balanced_accuracy,0.4858974358974359
lfp_plus_estrous,logistic_regression,roc_auc,0.4828205128205128
lfp_plus_estrous,logistic_regression,accuracy,0.488
lfp_plus_estrous,svm_rbf,balanced_accuracy,0.532051282051282
lfp_plus_estrous,svm_rbf,roc_auc,0.40794871794871795
lfp_plus_estrous,svm_rbf,accuracy,0.536
lfp_plus_estrous,random_forest,balanced_accuracy,0.375
lfp_plus_estrous,random_forest,roc_auc,0.30974358974358973
lfp_plus_estrous,random_forest,accuracy,0.376
lfp_residualized,logistic_regression,balanced_accuracy,0.4551282051282052
lfp_residualized,logistic_regression,roc_auc,0.43923076923076926
lfp_residualized,logistic_regression,accuracy,0.456
lfp_residualized,svm_rbf,balanced_accuracy,0.4865384615384616
lfp_residualized,svm_rbf,roc_auc,0.38307692307692304
lfp_residualized,svm_rbf,accuracy,0.488
lfp_residualized,random_forest,balanced_accuracy,0.4224358974358975
lfp_residualized,random_forest,roc_auc,0.3591025641025641
lfp_residualized,random_forest,accuracy,0.424
lfp_only,logistic_regression,perm_null_mean_balanced_accuracy,0.4886565119859073
lfp_only,logistic_regression,perm_p_value_balanced_accuracy,0.7022977022977023
lfp_plus_estrous,logistic_regression,perm_null_mean_balanced_accuracy,0.48769187654714063
lfp_plus_estrous,logistic_regression,perm_p_value_balanced_accuracy,0.5244755244755245
lfp_residualized,logistic_regression,perm_null_mean_balanced_accuracy,0.4886875500251971
lfp_residualized,logistic_regression,perm_p_value_balanced_accuracy,0.6513486513486514
