model,cv_scheme,metric,value
logistic_regression,leave_one_mouse_out,balanced_accuracy,0.43846153846153846
logistic_regression,leave_one_mouse_out,roc_auc,0.44820512820512826
logistic_regression,leave_one_mouse_out,accuracy,0.44
logistic_regression,random_kfold,balanced_accuracy,0.6096153846153847
logistic_regression,random_kfold,roc_auc,0.6871794871794872
logistic_regression,random_kfold,accuracy,0.608
svm_rbf,leave_one_mouse_out,balanced_accuracy,0.46282051282051284
svm_rbf,leave_one_mouse_out,roc_auc,0.348974358974359
svm_rbf,leave_one_mouse_out,accuracy,0.464
svm_rbf,random_kfold,balanced_accuracy,0.5692307692307692
svm_rbf,random_kfold,roc_auc,0.5844871794871794
svm_rbf,random_kfold,accuracy,0.576
random_forest,leave_one_mouse_out,balanced_accuracy,0.36730769230769234
random_forest,leave_one_mouse_out,roc_auc,0.3123076923076923
random_forest,leave_one_mouse_out,accuracy,0.368
random_forest,random_kfold,balanced_accuracy,0.591025641025641
random_forest,random_kfold,roc_auc,0.6573076923076924
random_forest,random_kfold,accuracy,0.592
logistic_regression,leave_one_mouse_out,perm_null_mean_balanced_accuracy,0.4886565119859073
logistic_regression,leave_one_mouse_out,perm_p_value_balanced_accuracy,0.7022977022977023
