feature_set,model,metric,value
delta,logistic_regression,balanced_accuracy,0.47692307692307695
delta,logistic_regression,roc_auc,0.4938461538461538
delta,logistic_regression,accuracy,0.48
delta,svm_rbf,balanced_accuracy,0.11025641025641025
delta,svm_rbf,roc_auc,0.052564102564102586
delta,svm_rbf,accuracy,0.112
delta,random_forest,balanced_accuracy,0.3192307692307692
delta,random_forest,roc_auc,0.25576923076923075
delta,random_forest,accuracy,0.32
theta,logistic_regression,balanced_accuracy,0.49230769230769234
theta,logistic_regression,roc_auc,0.3771794871794872
theta,logistic_regression,accuracy,0.488
theta,svm_rbf,balanced_accuracy,0.3012820512820513
theta,svm_rbf,roc_auc,0.24846153846153846
theta,svm_rbf,accuracy,0.304
theta,random_forest,balanced_accuracy,0.3814102564102564
theta,random_forest,roc_auc,0.3162820512820513
theta,random_forest,accuracy,0.384
beta,logistic_regression,balanced_accuracy,0.42820512820512824
beta,logistic_regression,roc_auc,0.3364102564102564
beta,logistic_regression,accuracy,0.424
beta,svm_rbf,balanced_accuracy,0.14038461538461539
beta,svm_rbf,roc_auc,0.0507692307692308
beta,svm_rbf,accuracy,0.144
beta,random_forest,balanced_accuracy,0.3666666666666667
beta,random_forest,roc_auc,0.27730769230769226
beta,random_forest,accuracy,0.368
low_gamma,logistic_regression,balanced_accuracy,0.34423076923076923
low_gamma,logistic_regression,roc_auc,0.2574358974358974
low_gamma,logistic_regression,accuracy,0.344
low_gamma,svm_rbf,balanced_accuracy,0.5
low_gamma,svm_rbf,roc_auc,0.3602564102564103
low_gamma,svm_rbf,accuracy,0.504
low_gamma,random_forest,balanced_accuracy,0.4076923076923077
low_gamma,random_forest,roc_auc,0.39256410256410257
low_gamma,random_forest,accuracy,0.408
high_gamma,logistic_regression,balanced_accuracy,0.5397435897435898
high_gamma,logistic_regression,roc_auc,0.41589743589743594
high_gamma,logistic_regression,accuracy,0.544
high_gamma,svm_rbf,balanced_accuracy,0.46474358974358976
high_gamma,svm_rbf,roc_auc,0.3144871794871795
high_gamma,svm_rbf,accuracy,0.472
high_gamma,random_forest,balanced_accuracy,0.44294871794871793
high_gamma,random_forest,roc_auc,0.3882051282051282
high_gamma,random_forest,accuracy,0.448
fast_gamma,logistic_regression,balanced_accuracy,0.34807692307692306
fast_gamma,logistic_regression,roc_auc,0.2294871794871795
fast_gamma,logistic_regression,accuracy,0.352
fast_gamma,svm_rbf,balanced_accuracy,0.3185897435897436
fast_gamma,svm_rbf,roc_auc,0.18128205128205127
fast_gamma,svm_rbf,accuracy,0.328
fast_gamma,random_forest,balanced_accuracy,0.34294871794871795
fast_gamma,random_forest,roc_auc,0.3141025641025641
fast_gamma,random_forest,accuracy,0.344
all_bands_power,logistic_regression,balanced_accuracy,0.4980769230769231
all_bands_power,logistic_regression,roc_auc,0.4289743589743589
all_bands_power,logistic_regression,accuracy,0.496
all_bands_power,svm_rbf,balanced_accuracy,0.37243589743589745
all_bands_power,svm_rbf,roc_auc,0.28512820512820514
all_bands_power,svm_rbf,accuracy,0.376
all_bands_power,random_forest,balanced_accuracy,0.3371794871794872
all_bands_power,random_forest,roc_auc,0.29846153846153844
all_bands_power,random_forest,accuracy,0.336
delta,logistic_regression,perm_p_value_balanced_accuracy,0.6563436563436563
theta,logistic_regression,perm_p_value_balanced_accuracy,0.5954045954045954
beta,logistic_regression,perm_p_value_balanced_accuracy,0.7772227772227772
low_gamma,logistic_regression,perm_p_value_balanced_accuracy,0.8931068931068931
high_gamma,logistic_regression,perm_p_value_balanced_accuracy,0.3826173826173826
fast_gamma,logistic_regression,perm_p_value_balanced_accuracy,0.8931068931068931
all_bands_power,logistic_regression,perm_p_value_balanced_accuracy,0.4855144855144855
