phase,cell,cell_type,model,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
A,delta,band,svm_rbf,0.42148987390634907,0.41964285714285715,0.14589285714285713,0.6847023809523808,978,22,49,17,
A,delta,band,random_forest,0.34850842652326297,0.3522727272727273,0.08333333333333333,0.564895833333333,978,22,49,17,
A,theta,band,svm_rbf,0.3984805320649077,0.4,0.12878787878787878,0.6628205128205129,982,18,49,17,
A,theta,band,random_forest,0.44879485060812024,0.4482007575757576,0.2028125,0.6875,982,18,49,17,
A,beta,band,svm_rbf,0.5469992083401073,0.5494505494505495,0.28526785714285713,0.8054258241758239,983,17,49,17,
A,beta,band,random_forest,0.5287082846125266,0.5333333333333333,0.29664502164502166,0.7346520146520145,983,17,49,17,
A,low_gamma,band,svm_rbf,0.3967390736756608,0.39724736048265463,0.1346212121212121,0.65,978,22,49,17,
A,low_gamma,band,random_forest,0.3859774524371074,0.3885003885003885,0.125,0.6,978,22,49,17,
A,high_gamma,band,svm_rbf,0.46789964157835745,0.4734848484848485,0.20535714285714285,0.7004700854700854,979,21,49,17,
A,high_gamma,band,random_forest,0.4636639484168436,0.4666666666666667,0.1931547619047619,0.6867788461538461,979,21,49,17,
A,fast_gamma,band,svm_rbf,0.4873892008790608,0.4875,0.19230769230769232,0.7235431235431236,981,19,49,17,
A,fast_gamma,band,random_forest,0.4841417716050838,0.5,0.2102272727272727,0.7222222222222222,981,19,49,17,
A,theta_delta,ratio,svm_rbf,0.40062745632236135,0.4027777777777778,0.17142857142857143,0.6422268907563023,969,31,49,17,
A,theta_delta,ratio,random_forest,0.38164108274887637,0.3838383838383838,0.14285714285714285,0.5877310924369746,969,31,49,17,
A,beta_delta,ratio,svm_rbf,0.5357536500852449,0.5404040404040404,0.30662393162393164,0.7653846153846156,982,18,49,17,
A,beta_delta,ratio,random_forest,0.544051120624468,0.55,0.30357954545454546,0.7209571678321678,982,18,49,17,
A,low_gamma_delta,ratio,svm_rbf,0.44733646286382145,0.44917929292929293,0.25,0.6143028846153846,976,24,49,17,
A,low_gamma_delta,ratio,random_forest,0.47527416108733433,0.47619047619047616,0.26666666666666666,0.671875,976,24,49,17,
A,high_gamma_delta,ratio,svm_rbf,0.5044313516277015,0.5,0.25,0.7307692307692308,978,22,49,17,
A,high_gamma_delta,ratio,random_forest,0.5341153391565674,0.5347222222222222,0.29166666666666663,0.75,978,22,49,17,
A,fast_gamma_delta,ratio,svm_rbf,0.44929368329755326,0.45238095238095233,0.21739583333333334,0.6315972222222221,975,25,49,17,
A,fast_gamma_delta,ratio,random_forest,0.4559272314483079,0.4595959595959596,0.23809523809523808,0.6455882352941176,975,25,49,17,
A,beta_theta,ratio,svm_rbf,0.6949814067881329,0.7045454545454546,0.41981556455240665,0.9,979,21,49,17,
A,beta_theta,ratio,random_forest,0.6252540729464211,0.6303030303030304,0.40125000000000005,0.829924242424242,979,21,49,17,
A,low_gamma_theta,ratio,svm_rbf,0.43919033073064184,0.4478021978021978,0.16845238095238094,0.6827651515151516,976,24,49,17,
A,low_gamma_theta,ratio,random_forest,0.4836464164582028,0.48351648351648346,0.22659632034632032,0.7083333333333333,976,24,49,17,
A,high_gamma_theta,ratio,svm_rbf,0.49491913583645025,0.5095238095238095,0.14666666666666667,0.7222222222222222,969,31,49,17,
A,high_gamma_theta,ratio,random_forest,0.7298348728067455,0.7386363636363636,0.47765151515151516,0.9444444444444444,969,31,49,17,
A,fast_gamma_theta,ratio,svm_rbf,0.471305917069935,0.4833333333333333,0.16666666666666666,0.6875,971,29,49,17,
A,fast_gamma_theta,ratio,random_forest,0.510010116370815,0.5166666666666666,0.25,0.75,971,29,49,17,
