phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
A,delta,band,svm_rbf,balanced_accuracy,0.38235294117647056,,27,15
A,delta,band,svm_rbf,roc_auc,0.0,,27,15
A,delta,band,svm_rbf,accuracy,0.48148148148148145,,27,15
A,delta,band,random_forest,balanced_accuracy,0.47352941176470587,,27,15
A,delta,band,random_forest,roc_auc,0.3647058823529412,,27,15
A,delta,band,random_forest,accuracy,0.5185185185185185,,27,15
A,delta,band,svm_rbf,perm_null_mean_balanced_accuracy,0.385408354942701,,27,15
A,delta,band,svm_rbf,perm_p_value_balanced_accuracy,0.5024875621890548,,27,15
A,theta,band,svm_rbf,balanced_accuracy,0.4117647058823529,,27,15
A,theta,band,svm_rbf,roc_auc,0.05294117647058825,,27,15
A,theta,band,svm_rbf,accuracy,0.5185185185185185,,27,15
A,theta,band,random_forest,balanced_accuracy,0.4441176470588235,,27,15
A,theta,band,random_forest,roc_auc,0.3764705882352941,,27,15
A,theta,band,random_forest,accuracy,0.48148148148148145,,27,15
A,theta,band,svm_rbf,perm_null_mean_balanced_accuracy,0.3805886913868725,,27,15
A,theta,band,svm_rbf,perm_p_value_balanced_accuracy,0.38308457711442784,,27,15
A,beta,band,svm_rbf,balanced_accuracy,0.29411764705882354,,27,15
A,beta,band,svm_rbf,roc_auc,0.1,,27,15
A,beta,band,svm_rbf,accuracy,0.37037037037037035,,27,15
A,beta,band,random_forest,balanced_accuracy,0.41470588235294115,,27,15
A,beta,band,random_forest,roc_auc,0.4117647058823529,,27,15
A,beta,band,random_forest,accuracy,0.4444444444444444,,27,15
A,beta,band,svm_rbf,perm_null_mean_balanced_accuracy,0.4083777674531352,,27,15
A,beta,band,svm_rbf,perm_p_value_balanced_accuracy,0.7512437810945274,,27,15
A,low_gamma,band,svm_rbf,balanced_accuracy,0.38235294117647056,,27,15
A,low_gamma,band,svm_rbf,roc_auc,0.1764705882352941,,27,15
A,low_gamma,band,svm_rbf,accuracy,0.48148148148148145,,27,15
A,low_gamma,band,random_forest,balanced_accuracy,0.14705882352941177,,27,15
A,low_gamma,band,random_forest,roc_auc,0.10882352941176471,,27,15
A,low_gamma,band,random_forest,accuracy,0.18518518518518517,,27,15
A,low_gamma,band,svm_rbf,perm_null_mean_balanced_accuracy,0.40257048486644076,,27,15
A,low_gamma,band,svm_rbf,perm_p_value_balanced_accuracy,0.4925373134328358,,27,15
A,high_gamma,band,svm_rbf,balanced_accuracy,0.4117647058823529,,27,15
A,high_gamma,band,svm_rbf,roc_auc,0.03529411764705882,,27,15
