phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
A,delta,band,random_forest,r2,-0.2898592868924308,,27,15
A,delta,band,random_forest,mae,3.469444444444446,,27,15
A,delta,band,random_forest,perm_null_mean_r2,-0.3957989003540671,,27,15
A,delta,band,random_forest,perm_p_value_r2,0.32338308457711445,,27,15
A,theta,band,random_forest,r2,-0.8403932506489242,,27,15
A,theta,band,random_forest,mae,4.0189370370370385,,27,15
A,theta,band,random_forest,perm_null_mean_r2,-0.37461769388574717,,27,15
A,theta,band,random_forest,perm_p_value_r2,0.9502487562189055,,27,15
A,beta,band,random_forest,r2,-0.4673525792515023,,27,15
A,beta,band,random_forest,mae,3.721074074074079,,27,15
A,beta,band,random_forest,perm_null_mean_r2,-0.39740383820908987,,27,15
A,beta,band,random_forest,perm_p_value_r2,0.6268656716417911,,27,15
A,low_gamma,band,random_forest,r2,-0.42939718966625917,,27,15
A,low_gamma,band,random_forest,mae,3.8849666666666702,,27,15
A,low_gamma,band,random_forest,perm_null_mean_r2,-0.35016895394338604,,27,15
A,low_gamma,band,random_forest,perm_p_value_r2,0.6517412935323383,,27,15
A,high_gamma,band,random_forest,r2,-0.6000622885915563,,27,15
A,high_gamma,band,random_forest,mae,3.810744444444438,,27,15
A,high_gamma,band,random_forest,perm_null_mean_r2,-0.36437202347101666,,27,15
A,high_gamma,band,random_forest,perm_p_value_r2,0.8507462686567164,,27,15
A,fast_gamma,band,random_forest,r2,-0.366705537539197,,27,15
A,fast_gamma,band,random_forest,mae,3.6043555555555575,,27,15
A,fast_gamma,band,random_forest,perm_null_mean_r2,-0.4228061367022278,,27,15
A,fast_gamma,band,random_forest,perm_p_value_r2,0.43781094527363185,,27,15
A,theta_delta,ratio,random_forest,r2,-0.6385014373913755,,27,15
A,theta_delta,ratio,random_forest,mae,4.137248148148145,,27,15
A,theta_delta,ratio,random_forest,perm_null_mean_r2,-0.525618057687086,,27,15
A,theta_delta,ratio,random_forest,perm_p_value_r2,0.6417910447761194,,27,15
A,beta_delta,ratio,random_forest,r2,-0.813055621185905,,27,15
A,beta_delta,ratio,random_forest,mae,4.325681481481479,,27,15
A,beta_delta,ratio,random_forest,perm_null_mean_r2,-0.532371849680692,,27,15
A,beta_delta,ratio,random_forest,perm_p_value_r2,0.8208955223880597,,27,15
A,low_gamma_delta,ratio,random_forest,r2,-0.410522817858769,,27,15
A,low_gamma_delta,ratio,random_forest,mae,3.5269814814814784,,27,15
A,low_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.5378831843360509,,27,15
A,low_gamma_delta,ratio,random_forest,perm_p_value_r2,0.31840796019900497,,27,15
A,high_gamma_delta,ratio,random_forest,r2,-0.6749787031824939,,27,15
A,high_gamma_delta,ratio,random_forest,mae,3.9568703703703703,,27,15
A,high_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.5495716305662126,,27,15
A,high_gamma_delta,ratio,random_forest,perm_p_value_r2,0.6368159203980099,,27,15
A,fast_gamma_delta,ratio,random_forest,r2,-0.8454559417868359,,27,15
A,fast_gamma_delta,ratio,random_forest,mae,4.179707407407401,,27,15
A,fast_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.5436755276130623,,27,15
A,fast_gamma_delta,ratio,random_forest,perm_p_value_r2,0.8407960199004975,,27,15
A,beta_theta,ratio,random_forest,r2,-0.8998503381544676,,27,15
A,beta_theta,ratio,random_forest,mae,4.1326222222222135,,27,15
A,beta_theta,ratio,random_forest,perm_null_mean_r2,-0.5039417338960976,,27,15
A,beta_theta,ratio,random_forest,perm_p_value_r2,0.9154228855721394,,27,15
A,low_gamma_theta,ratio,random_forest,r2,-1.0555134776074433,,27,15
A,low_gamma_theta,ratio,random_forest,mae,4.549444444444443,,27,15
A,low_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5366992112457566,,27,15
A,low_gamma_theta,ratio,random_forest,perm_p_value_r2,0.9154228855721394,,27,15
A,high_gamma_theta,ratio,random_forest,r2,-0.6379185577834363,,27,15
A,high_gamma_theta,ratio,random_forest,mae,3.9635851851851838,,27,15
A,high_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5094925625371195,,27,15
A,high_gamma_theta,ratio,random_forest,perm_p_value_r2,0.6417910447761194,,27,15
A,fast_gamma_theta,ratio,random_forest,r2,-0.6070270625082368,,27,15
A,fast_gamma_theta,ratio,random_forest,mae,3.920733333333335,,27,15
A,fast_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5149366386248638,,27,15
A,fast_gamma_theta,ratio,random_forest,perm_p_value_r2,0.6567164179104478,,27,15
A,low_gamma_beta,ratio,random_forest,r2,-0.0417195692018788,,27,15
A,low_gamma_beta,ratio,random_forest,mae,2.7922444444444445,,27,15
A,low_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.5682689611492012,,27,15
A,low_gamma_beta,ratio,random_forest,perm_p_value_r2,0.01990049751243781,,27,15
A,high_gamma_beta,ratio,random_forest,r2,0.3972776879911679,,27,15
A,high_gamma_beta,ratio,random_forest,mae,2.2346555555555594,,27,15
A,high_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.49690081008123277,,27,15
A,high_gamma_beta,ratio,random_forest,perm_p_value_r2,0.009950248756218905,,27,15
A,fast_gamma_beta,ratio,random_forest,r2,0.39401752777143284,,27,15
A,fast_gamma_beta,ratio,random_forest,mae,2.2333925925925815,,27,15
A,fast_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.5157988459188807,,27,15
A,fast_gamma_beta,ratio,random_forest,perm_p_value_r2,0.004975124378109453,,27,15
A,high_gamma_low_gamma,ratio,random_forest,r2,-0.018337166040558017,,27,15
A,high_gamma_low_gamma,ratio,random_forest,mae,3.029407407407405,,27,15
A,high_gamma_low_gamma,ratio,random_forest,perm_null_mean_r2,-0.5098388698411416,,27,15
A,high_gamma_low_gamma,ratio,random_forest,perm_p_value_r2,0.07960199004975124,,27,15
A,fast_gamma_low_gamma,ratio,random_forest,r2,-0.4668850496200718,,27,15
A,fast_gamma_low_gamma,ratio,random_forest,mae,3.226822222222204,,27,15
A,fast_gamma_low_gamma,ratio,random_forest,perm_null_mean_r2,-0.5241828994674027,,27,15
A,fast_gamma_low_gamma,ratio,random_forest,perm_p_value_r2,0.44776119402985076,,27,15
A,fast_gamma_high_gamma,ratio,random_forest,r2,-0.2160836029911677,,27,15
A,fast_gamma_high_gamma,ratio,random_forest,mae,2.9646888888888814,,27,15
A,fast_gamma_high_gamma,ratio,random_forest,perm_null_mean_r2,-0.560413003413898,,27,15
A,fast_gamma_high_gamma,ratio,random_forest,perm_p_value_r2,0.13432835820895522,,27,15
B,delta,band,random_forest,r2,-0.9316497896097651,,33,17
B,delta,band,random_forest,mae,4.355142424242424,,33,17
B,delta,band,random_forest,perm_null_mean_r2,-0.3125174265803024,,33,17
B,delta,band,random_forest,perm_p_value_r2,1.0,,33,17
B,theta,band,random_forest,r2,-1.0733765212716069,,33,17
B,theta,band,random_forest,mae,4.545824242424238,,33,17
B,theta,band,random_forest,perm_null_mean_r2,-0.35085640850188043,,33,17
B,theta,band,random_forest,perm_p_value_r2,1.0,,33,17
B,beta,band,random_forest,r2,-0.802423867577656,,33,17
B,beta,band,random_forest,mae,3.902512121212126,,33,17
B,beta,band,random_forest,perm_null_mean_r2,-0.3330846941409783,,33,17
B,beta,band,random_forest,perm_p_value_r2,0.9950248756218906,,33,17
B,low_gamma,band,random_forest,r2,-0.7585400911765374,,33,17
B,low_gamma,band,random_forest,mae,4.1382969696969685,,33,17
B,low_gamma,band,random_forest,perm_null_mean_r2,-0.33659356397390316,,33,17
B,low_gamma,band,random_forest,perm_p_value_r2,0.9651741293532339,,33,17
B,high_gamma,band,random_forest,r2,-0.5405617980967785,,33,17
B,high_gamma,band,random_forest,mae,3.829245454545453,,33,17
B,high_gamma,band,random_forest,perm_null_mean_r2,-0.33555140898466335,,33,17
B,high_gamma,band,random_forest,perm_p_value_r2,0.8258706467661692,,33,17
B,fast_gamma,band,random_forest,r2,-0.260675598524049,,33,17
B,fast_gamma,band,random_forest,mae,3.266190909090906,,33,17
B,fast_gamma,band,random_forest,perm_null_mean_r2,-0.3662753845464222,,33,17
B,fast_gamma,band,random_forest,perm_p_value_r2,0.32338308457711445,,33,17
B,theta_delta,ratio,random_forest,r2,-0.8013137259945267,,33,17
B,theta_delta,ratio,random_forest,mae,4.256075757575753,,33,17
B,theta_delta,ratio,random_forest,perm_null_mean_r2,-0.5136157656186636,,33,17
B,theta_delta,ratio,random_forest,perm_p_value_r2,0.8407960199004975,,33,17
B,beta_delta,ratio,random_forest,r2,-0.1768484439417679,,33,17
B,beta_delta,ratio,random_forest,mae,3.087024242424247,,33,17
B,beta_delta,ratio,random_forest,perm_null_mean_r2,-0.50066714720289,,33,17
B,beta_delta,ratio,random_forest,perm_p_value_r2,0.11442786069651742,,33,17
B,low_gamma_delta,ratio,random_forest,r2,-0.6430667753777473,,33,17
B,low_gamma_delta,ratio,random_forest,mae,3.796551515151513,,33,17
B,low_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.49585576782576885,,33,17
B,low_gamma_delta,ratio,random_forest,perm_p_value_r2,0.7114427860696517,,33,17
B,high_gamma_delta,ratio,random_forest,r2,-0.9511487756533286,,33,17
B,high_gamma_delta,ratio,random_forest,mae,4.2537818181818245,,33,17
B,high_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.5086372549951451,,33,17
B,high_gamma_delta,ratio,random_forest,perm_p_value_r2,0.945273631840796,,33,17
B,fast_gamma_delta,ratio,random_forest,r2,-0.915175698308573,,33,17
B,fast_gamma_delta,ratio,random_forest,mae,4.024751515151512,,33,17
B,fast_gamma_delta,ratio,random_forest,perm_null_mean_r2,-0.527124773736286,,33,17
B,fast_gamma_delta,ratio,random_forest,perm_p_value_r2,0.9203980099502488,,33,17
B,beta_theta,ratio,random_forest,r2,-0.8326182641090378,,33,17
B,beta_theta,ratio,random_forest,mae,3.9822878787878775,,33,17
B,beta_theta,ratio,random_forest,perm_null_mean_r2,-0.5458687330036924,,33,17
B,beta_theta,ratio,random_forest,perm_p_value_r2,0.835820895522388,,33,17
B,low_gamma_theta,ratio,random_forest,r2,-1.4405799178187042,,33,17
B,low_gamma_theta,ratio,random_forest,mae,4.7275787878787865,,33,17
B,low_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5421413582447187,,33,17
B,low_gamma_theta,ratio,random_forest,perm_p_value_r2,1.0,,33,17
B,high_gamma_theta,ratio,random_forest,r2,-1.245726578125545,,33,17
B,high_gamma_theta,ratio,random_forest,mae,4.50596666666667,,33,17
B,high_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5096968617060849,,33,17
B,high_gamma_theta,ratio,random_forest,perm_p_value_r2,1.0,,33,17
B,fast_gamma_theta,ratio,random_forest,r2,-1.274278468552719,,33,17
B,fast_gamma_theta,ratio,random_forest,mae,4.660836363636374,,33,17
B,fast_gamma_theta,ratio,random_forest,perm_null_mean_r2,-0.5438297465365857,,33,17
B,fast_gamma_theta,ratio,random_forest,perm_p_value_r2,1.0,,33,17
B,low_gamma_beta,ratio,random_forest,r2,-0.5588423694496298,,33,17
B,low_gamma_beta,ratio,random_forest,mae,3.6664818181818273,,33,17
B,low_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.5456536361302454,,33,17
B,low_gamma_beta,ratio,random_forest,perm_p_value_r2,0.48258706467661694,,33,17
B,high_gamma_beta,ratio,random_forest,r2,-0.6938734188419442,,33,17
B,high_gamma_beta,ratio,random_forest,mae,3.7229363636363546,,33,17
B,high_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.5315301836716334,,33,17
B,high_gamma_beta,ratio,random_forest,perm_p_value_r2,0.7263681592039801,,33,17
B,fast_gamma_beta,ratio,random_forest,r2,-0.21925354133853614,,33,17
B,fast_gamma_beta,ratio,random_forest,mae,2.966124242424234,,33,17
B,fast_gamma_beta,ratio,random_forest,perm_null_mean_r2,-0.5396095251971764,,33,17
B,fast_gamma_beta,ratio,random_forest,perm_p_value_r2,0.12437810945273632,,33,17
B,high_gamma_low_gamma,ratio,random_forest,r2,-0.45902323731071837,,33,17
B,high_gamma_low_gamma,ratio,random_forest,mae,3.700636363636363,,33,17
B,high_gamma_low_gamma,ratio,random_forest,perm_null_mean_r2,-0.49397179799923335,,33,17
B,high_gamma_low_gamma,ratio,random_forest,perm_p_value_r2,0.4577114427860697,,33,17
B,fast_gamma_low_gamma,ratio,random_forest,r2,-0.9225029193904168,,33,17
B,fast_gamma_low_gamma,ratio,random_forest,mae,4.185863636363635,,33,17
B,fast_gamma_low_gamma,ratio,random_forest,perm_null_mean_r2,-0.5154842036259099,,33,17
B,fast_gamma_low_gamma,ratio,random_forest,perm_p_value_r2,0.9253731343283582,,33,17
B,fast_gamma_high_gamma,ratio,random_forest,r2,-0.9473661434081126,,33,17
B,fast_gamma_high_gamma,ratio,random_forest,mae,4.128439393939393,,33,17
