subset,phase,cell,cell_type,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
HFD,A,delta,band,-1.8965023325343042,-1.0165828027959873,-8.568068371337098,0.16234306614177033,668,332.0,17,8,
HFD,A,theta,band,-3.259844076046021,-1.5934157243083666,-16.131580421449204,-0.16990757840220003,690,310.0,17,8,
HFD,A,beta,band,-2.182845818898705,-1.1155063214329133,-10.159598316836972,0.02680632478475621,696,304.0,17,8,
HFD,A,low_gamma,band,-2.4951804882820547,-1.379313870874792,-11.326719028885053,-0.12148029185197948,677,323.0,17,8,
HFD,A,high_gamma,band,-2.26047665091025,-1.154663121996438,-9.021748164400456,-0.013611011873871887,698,302.0,17,8,
HFD,A,fast_gamma,band,-2.3049880672592877,-1.1109180824008285,-10.59957488675348,-0.05996266325271613,704,296.0,17,8,
HFD,A,theta_delta,ratio,-2.688745958894907,-1.102092874510065,-11.616727589845953,-0.14545495218372057,691,309.0,17,8,
HFD,A,beta_delta,ratio,-4.058540525349346,-1.7056011379132399,-17.827396240143617,-0.24177477784098136,658,342.0,17,8,
HFD,A,low_gamma_delta,ratio,-4.566237629979986,-1.7676308291234606,-21.09615720906397,-0.29131763784285813,688,312.0,17,8,
HFD,A,high_gamma_delta,ratio,-3.0416550731736276,-1.189642804443492,-15.488661276319332,0.014649401591960412,687,313.0,17,8,
HFD,A,fast_gamma_delta,ratio,-3.9520610274511636,-1.753568147399707,-17.895926445808247,-0.26864260359734027,688,312.0,17,8,
HFD,A,beta_theta,ratio,-3.8832728385005244,-2.3214551437186794,-14.253662915162037,-0.0069467642751930275,707,293.0,17,8,
HFD,A,low_gamma_theta,ratio,-2.3863443710258117,-2.076424780727982,-6.813297119426662,-0.04749491443181471,664,336.0,17,8,
HFD,A,high_gamma_theta,ratio,-3.7288498567081447,-2.584699984386295,-11.793969914917936,-0.16305062387103011,679,321.0,17,8,
HFD,A,fast_gamma_theta,ratio,-3.414832515259217,-2.032940157011307,-11.781147185428857,-7.53027031935874e-05,699,301.0,17,8,
HFD,A,low_gamma_beta,ratio,-2.2208558095951263,-1.4244982226425236,-6.58432660169882,-0.10968166160195797,716,284.0,17,8,
HFD,A,high_gamma_beta,ratio,-3.8656520236400524,-1.643694760480482,-14.127084196603423,-0.2742216901033809,706,294.0,17,8,
HFD,A,fast_gamma_beta,ratio,-7.592522726521556,-2.779089998854221,-34.106814345815195,-0.2972631292368285,679,321.0,17,8,
HFD,A,high_gamma_low_gamma,ratio,-5.165981154177735,-2.0692849754029083,-22.816706267018986,0.20465627182030963,687,313.0,17,8,
HFD,A,fast_gamma_low_gamma,ratio,-2.4682490040449983,-1.383742761880792,-13.011504424112799,-0.04108231225403891,681,319.0,17,8,
HFD,A,fast_gamma_high_gamma,ratio,-4.115218038689323,-1.4621513409999318,-19.381056091416156,0.18629042327025785,698,302.0,17,8,
HFD,B,delta,band,-3.057951349396319,-1.8938590920824532,-10.486643803385146,0.0025383094722130376,850,150.0,22,9,
HFD,B,theta,band,-3.0606946437743323,-1.9085425547125827,-12.236322346525128,-0.008192791120834146,864,136.0,22,9,
HFD,B,beta,band,-2.5036961824994424,-1.7208408288746182,-7.998961636819627,-0.15404236288077472,839,161.0,22,9,
HFD,B,low_gamma,band,-1.7682246261382701,-1.0787888835839081,-7.042619710362011,0.17007169731842348,862,138.0,22,9,
HFD,B,high_gamma,band,-2.355049530147088,-1.2082363297685548,-9.636528834118154,0.10208648953555442,854,146.0,22,9,
HFD,B,fast_gamma,band,-2.268827916936484,-0.9636066383622313,-10.893651286183772,0.15714366025456308,855,145.0,22,9,
HFD,B,theta_delta,ratio,-2.895366364815686,-2.785947483669583,-8.678421873850821,-0.04733430337729638,861,139.0,22,9,
HFD,B,beta_delta,ratio,-2.5257382968919857,-1.2569990933751893,-9.80465659573058,0.17860842297959637,869,131.0,22,9,
HFD,B,low_gamma_delta,ratio,-3.176338018987814,-2.2108841581521324,-10.122706662051955,-0.024318353313146367,855,145.0,22,9,
HFD,B,high_gamma_delta,ratio,-4.301307079736669,-3.172339835553152,-16.76421901008952,-0.3001891486694924,859,141.0,22,9,
HFD,B,fast_gamma_delta,ratio,-3.09873662657064,-1.7855364890748833,-12.12146887899922,-0.06630491340977757,865,135.0,22,9,
HFD,B,beta_theta,ratio,-2.3944352150138117,-2.4391900776793882,-8.03957363888132,-0.020843166497832848,868,132.0,22,9,
HFD,B,low_gamma_theta,ratio,-2.988388487720531,-1.9305139677063563,-9.65092315679567,-0.006830666007369497,842,158.0,22,9,
HFD,B,high_gamma_theta,ratio,-2.9221738920938316,-2.1101466187566866,-10.333747959931257,-0.29623246877193904,870,130.0,22,9,
HFD,B,fast_gamma_theta,ratio,-2.7588892094136983,-1.4704821274579074,-11.664372490245324,-0.11197178954419683,854,146.0,22,9,
HFD,B,low_gamma_beta,ratio,-1.6867570911664616,-0.8101615290468939,-7.546613404698447,0.22621078978599118,854,146.0,22,9,
HFD,B,high_gamma_beta,ratio,-3.017054429943398,-1.6233037086759143,-11.588114210603445,0.011658346698334798,857,143.0,22,9,
HFD,B,fast_gamma_beta,ratio,-3.104000860178001,-1.9134228125922865,-13.558813281714746,-0.12105120691575079,855,145.0,22,9,
HFD,B,high_gamma_low_gamma,ratio,-2.6170035489533627,-1.5873924504048254,-10.208842972235274,-0.0388952181303123,855,145.0,22,9,
HFD,B,fast_gamma_low_gamma,ratio,-2.8438848144062727,-1.3767800894183826,-11.847582142700457,0.023945026068371292,865,135.0,22,9,
HFD,B,fast_gamma_high_gamma,ratio,-2.520714088842162,-1.2882237670481413,-11.27050300710378,0.1536951450782357,857,143.0,22,9,
HFD,C,delta,band,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,theta,band,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,beta,band,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,low_gamma,band,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,high_gamma,band,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,fast_gamma,band,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,theta_delta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,beta_delta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,low_gamma_delta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,high_gamma_delta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,fast_gamma_delta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,beta_theta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,low_gamma_theta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,high_gamma_theta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,fast_gamma_theta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,low_gamma_beta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,high_gamma_beta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,fast_gamma_beta,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,high_gamma_low_gamma,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,fast_gamma_low_gamma,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,C,fast_gamma_high_gamma,ratio,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,D,delta,band,-2.405785850061303,-1.7073968155553323,-6.8005226651438395,0.16223164573501425,940,60.0,31,9,
HFD,D,theta,band,-2.379907699654839,-1.4778177221692088,-6.445146228302803,0.17114349321884684,945,55.0,31,9,
HFD,D,beta,band,-2.6654052081234543,-1.359890386974509,-8.334836206569431,-0.04013754545889332,950,50.0,31,9,
HFD,D,low_gamma,band,-2.247180838187043,-1.543382845614424,-6.606585535572477,-0.1043062750970875,945,55.0,31,9,
HFD,D,high_gamma,band,-2.491657447046779,-1.5456852426123935,-7.216864756532693,0.008742326039690773,956,44.0,31,9,
HFD,D,fast_gamma,band,-2.4006505050201783,-1.4122945498200918,-6.094714152201254,-0.1536594849791541,940,60.0,31,9,
HFD,D,theta_delta,ratio,-2.4100618776879528,-1.2245347013942154,-7.254355900807643,0.08844124760698481,955,45.0,31,9,
HFD,D,beta_delta,ratio,-2.6785217056348807,-1.454246892145321,-8.380366382168694,-0.17214844090211154,947,53.0,31,9,
HFD,D,low_gamma_delta,ratio,-2.265297123243835,-1.526548861913299,-6.789215614202156,-0.1105062648582883,955,45.0,31,9,
HFD,D,high_gamma_delta,ratio,-1.6546344257734718,-0.856578125072776,-6.129660844719464,0.3537228647917672,963,37.0,31,9,
HFD,D,fast_gamma_delta,ratio,-2.0935472672705058,-1.2774910684696341,-8.811602561699917,0.008457988499523679,950,50.0,31,9,
HFD,D,beta_theta,ratio,-1.7352382974587504,-0.9919276284330962,-5.678435806433676,0.4893458933532463,951,49.0,31,9,
HFD,D,low_gamma_theta,ratio,-2.4077444238540524,-1.1723956608081603,-9.430329656612537,0.12457613126204913,962,38.0,31,9,
HFD,D,high_gamma_theta,ratio,-2.6982554956636786,-1.5417382701575608,-7.164467915004651,-0.05902623869101702,945,55.0,31,9,
HFD,D,fast_gamma_theta,ratio,-2.9242828917541903,-1.7986654111639933,-11.985272546218448,-0.25145758985542765,941,59.0,31,9,
HFD,D,low_gamma_beta,ratio,-2.6564276116281813,-1.6175186410443811,-7.44045742517803,-0.024735961712458787,954,46.0,31,9,
HFD,D,high_gamma_beta,ratio,-2.3235635615241215,-1.256785364854702,-7.549965072578927,-0.0552163673172735,946,54.0,31,9,
HFD,D,fast_gamma_beta,ratio,-2.87155783981563,-2.020001208497672,-8.091589336059346,-0.29574960504258413,948,52.0,31,9,
HFD,D,high_gamma_low_gamma,ratio,-2.450458084915408,-1.4791928666380811,-7.906694719309316,-0.08417461374915503,961,39.0,31,9,
HFD,D,fast_gamma_low_gamma,ratio,-2.5248097693583995,-1.428846588109383,-7.899546779110151,0.01741727770170655,945,55.0,31,9,
HFD,D,fast_gamma_high_gamma,ratio,-1.5433370443489203,-0.640237512545493,-8.759855978546208,0.32946699025866544,946,54.0,31,9,
CTRL,A,delta,band,-3.6208086213245982,-2.2232441822323508,-14.072822424778694,-0.14558225836629196,635,365.0,15,7,
CTRL,A,theta,band,-5.199119767308527,-1.5329848585630448,-29.133163635194308,0.0015750728490939317,620,380.0,15,7,
CTRL,A,beta,band,-1.9048504022760535,-1.3454259156440451,-9.262647146020376,0.08571030619946124,593,407.0,15,7,
CTRL,A,low_gamma,band,-4.623120359856354,-2.3755773700089784,-17.981071025037412,-0.09817649081208708,589,411.0,15,7,
CTRL,A,high_gamma,band,-3.8222643748166583,-1.9489222521915972,-16.13523786631197,0.019229395579228183,594,406.0,15,7,
CTRL,A,fast_gamma,band,-5.672905840497578,-2.0683216551833494,-22.333369697850276,0.05935445282212997,619,381.0,15,7,
CTRL,A,theta_delta,ratio,-3.0086767979470346,-1.6386398587569935,-12.42688603516097,0.18606348009879484,593,407.0,15,7,
CTRL,A,beta_delta,ratio,-2.8091518502413733,-1.6529267915813342,-11.523180459183692,0.1183183831318752,581,419.0,15,7,
CTRL,A,low_gamma_delta,ratio,-3.215986996046275,-1.796677814423941,-17.977292769328873,0.0014988000703765048,606,394.0,15,7,
CTRL,A,high_gamma_delta,ratio,-2.9109570311743913,-1.369505966793061,-16.326760273687608,-0.07068096515867414,596,404.0,15,7,
CTRL,A,fast_gamma_delta,ratio,-4.086323218906714,-2.541504863737754,-15.051327203146085,0.012731861160179594,608,392.0,15,7,
CTRL,A,beta_theta,ratio,-4.848194553227328,-1.90241695605574,-29.100076563845416,-0.012124196365967847,595,405.0,15,7,
CTRL,A,low_gamma_theta,ratio,-4.6031099792238495,-2.668443265373471,-15.66755705992447,0.2439682907053049,593,407.0,15,7,
CTRL,A,high_gamma_theta,ratio,-3.2542985910168887,-1.2868612384824827,-15.635348425029102,0.20812890944224546,614,386.0,15,7,
CTRL,A,fast_gamma_theta,ratio,-5.07801941182749,-2.733522908103267,-19.165686032414925,-0.22467161785253806,592,408.0,15,7,
CTRL,A,low_gamma_beta,ratio,-3.1961516707030575,-0.9422707920194577,-21.61865592482888,0.06500641724490211,603,397.0,15,7,
CTRL,A,high_gamma_beta,ratio,-2.1489763753504296,-1.0837713234823747,-10.437358268246053,0.07783886732944809,609,391.0,15,7,
CTRL,A,fast_gamma_beta,ratio,-2.2114835615141595,-0.9422717575128501,-9.124089903075506,0.188712822288187,590,410.0,15,7,
CTRL,A,high_gamma_low_gamma,ratio,-1.7721552621506884,-0.871780942588481,-8.673468909589026,0.2572059992473482,593,407.0,15,7,
CTRL,A,fast_gamma_low_gamma,ratio,-2.61721313604674,-0.948292819634137,-17.851082290443475,0.2359423052951884,598,402.0,15,7,
CTRL,A,fast_gamma_high_gamma,ratio,-5.207353371588583,-2.945539312115841,-23.114324200674186,-0.07706284774835377,600,400.0,15,7,
CTRL,B,delta,band,-3.881322359804318,-1.8796587531428286,-26.992516270588617,0.1402010701805237,885,115.0,26,9,
CTRL,B,theta,band,-5.239093712080122,-2.619569941299358,-37.96328214589388,0.28684997378072347,904,96.0,26,9,
CTRL,B,beta,band,-4.776058735628759,-2.5316059431719427,-32.79379410776173,-0.0909256397441547,887,113.0,26,9,
CTRL,B,low_gamma,band,-5.316878988157329,-1.7976065279152889,-62.269350765704225,0.10065390035062695,899,101.0,26,9,
CTRL,B,high_gamma,band,-3.7540263017474134,-1.7423423258235258,-25.222432461931863,0.22112974587886502,895,105.0,26,9,
CTRL,B,fast_gamma,band,-3.6704723517724918,-1.6934967696348524,-25.635337567322544,0.0606935313862034,912,88.0,26,9,
CTRL,B,theta_delta,ratio,-4.191208744497088,-2.277794860896833,-31.42017899335998,-0.11100513217788749,905,95.0,26,9,
CTRL,B,beta_delta,ratio,-3.90764989999215,-2.1266159687317305,-25.105493452667066,-0.10357615424540072,892,108.0,26,9,
CTRL,B,low_gamma_delta,ratio,-5.208135851835282,-2.7572443817665175,-32.18487977274108,-0.19598687420868185,905,95.0,26,9,
CTRL,B,high_gamma_delta,ratio,-5.363375481929118,-2.3528647422825184,-38.26941495742192,-0.07193969659384238,890,110.0,26,9,
CTRL,B,fast_gamma_delta,ratio,-4.270505681155967,-1.9003668981002364,-32.033898769428,0.2613484531828965,879,121.0,26,9,
CTRL,B,beta_theta,ratio,-5.372118352529144,-2.60079335755422,-49.72029208690989,-0.06496391159871348,886,114.0,26,9,
CTRL,B,low_gamma_theta,ratio,-4.1539344131523155,-2.1009368234278774,-32.916471130120996,-0.00419322366201691,899,101.0,26,9,
CTRL,B,high_gamma_theta,ratio,-6.2720804979032305,-2.5795249049352154,-58.10940539387447,-0.164820025221566,884,116.0,26,9,
CTRL,B,fast_gamma_theta,ratio,-4.639110746579618,-2.3656484945731053,-32.54818964671097,-0.089090773173875,905,95.0,26,9,
CTRL,B,low_gamma_beta,ratio,-4.400028647406479,-2.252582664210242,-32.07823780605546,-0.0921953093837088,883,117.0,26,9,
CTRL,B,high_gamma_beta,ratio,-4.0649423707962775,-2.3877686773681788,-20.34249071638493,0.0830390118889669,900,100.0,26,9,
CTRL,B,fast_gamma_beta,ratio,-4.340221262296506,-1.8049481883050753,-28.314812589375595,0.014485379006505782,898,102.0,26,9,
CTRL,B,high_gamma_low_gamma,ratio,-4.470652213781524,-2.176014468709851,-23.778962778560146,0.017938953033530713,877,123.0,26,9,
CTRL,B,fast_gamma_low_gamma,ratio,-6.210538125875038,-2.47314539592689,-58.20647485819688,0.04049908700471483,871,129.0,26,9,
CTRL,B,fast_gamma_high_gamma,ratio,-3.987006117559463,-2.1864574489045028,-29.35615174145681,-0.050523792283818814,913,87.0,26,9,
CTRL,C,delta,band,-2.9851880506944175,-1.4960083828909796,-17.220354481291334,0.035810315105826614,652,348.0,15,8,
CTRL,C,theta,band,-3.4410589598709764,-2.292812094874236,-14.699654260838347,-0.03611346310586185,648,352.0,15,8,
CTRL,C,beta,band,-1.9615841196708912,-0.9645339553699513,-11.648829817717026,0.22681780031105409,644,356.0,15,8,
CTRL,C,low_gamma,band,-3.7713328499523873,-2.422472329078804,-14.722288624985625,-0.11699870067941388,647,353.0,15,8,
CTRL,C,high_gamma,band,-4.108944861327101,-1.7492354521030982,-22.31079071381239,0.29467325375036607,625,375.0,15,8,
CTRL,C,fast_gamma,band,-3.7391349415331527,-1.323437798927539,-24.93631969257245,0.24173097854601583,618,382.0,15,8,
CTRL,C,theta_delta,ratio,-4.1539997411995575,-2.1872546586209234,-18.241863408577483,-0.22417712505565185,632,368.0,15,8,
CTRL,C,beta_delta,ratio,-2.46508458041963,-0.7904438018423063,-15.713773467751125,0.662311628845494,611,389.0,15,8,
CTRL,C,low_gamma_delta,ratio,-4.807482957152938,-2.4026384020881357,-28.836226891396368,0.03251205322556381,610,390.0,15,8,
CTRL,C,high_gamma_delta,ratio,-4.1523859129226075,-3.056931381779135,-19.47658809377619,-0.022037940621210016,635,365.0,15,8,
CTRL,C,fast_gamma_delta,ratio,-3.1350012776601734,-1.3504850999761273,-17.13701837390963,0.25742943418802194,649,351.0,15,8,
CTRL,C,beta_theta,ratio,-1.3107450784989163,-0.5446428304324481,-7.497928357196871,0.4953181082913176,634,366.0,15,8,
CTRL,C,low_gamma_theta,ratio,-1.6290813941418083,-0.5693345754356064,-8.617252019410241,0.4951872512682354,616,384.0,15,8,
CTRL,C,high_gamma_theta,ratio,-3.4993102216360223,-1.3038388850562126,-15.599578282853612,0.39868221445773233,628,372.0,15,8,
CTRL,C,fast_gamma_theta,ratio,-4.5681290671063755,-1.9378617828857154,-19.05331811089466,0.06390189625209136,628,372.0,15,8,
CTRL,C,low_gamma_beta,ratio,-3.1653408773168397,-1.7841736262335406,-12.456838405908869,0.03654313689212829,631,369.0,15,8,
CTRL,C,high_gamma_beta,ratio,-1.9733642432743383,-0.5616370803960025,-15.040181730275354,0.3834553650546456,608,392.0,15,8,
CTRL,C,fast_gamma_beta,ratio,-2.5002831842580107,-0.758661944774641,-17.96711170895831,0.3795823425077334,641,359.0,15,8,
CTRL,C,high_gamma_low_gamma,ratio,-2.5411304128475503,-1.2752848522729878,-11.254237641559447,0.09383286733698537,621,379.0,15,8,
CTRL,C,fast_gamma_low_gamma,ratio,-3.167387730456828,-1.4437847723096255,-16.794655869772555,0.0723504871565475,624,376.0,15,8,
CTRL,C,fast_gamma_high_gamma,ratio,-2.7316850794269905,-1.0268864798894801,-15.541148263420325,0.09881899408072438,654,346.0,15,8,
CTRL,D,delta,band,-1.4694898584566805,-1.224520847905806,-4.144710041462739,-0.22646223269382612,960,40.0,29,9,
CTRL,D,theta,band,-1.2513733947389816,-0.9834088666246901,-4.589000045976098,0.1890643173886775,965,35.0,29,9,
CTRL,D,beta,band,-1.1484411053482126,-0.8809775913936475,-3.914248008780687,0.10033310888881977,940,60.0,29,9,
CTRL,D,low_gamma,band,-1.544774091422331,-1.2332642344173093,-5.330545563772715,0.0028681593113104573,954,46.0,29,9,
