subset,phase,cell,cell_type,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
HFD,A,delta,band,-3.624140102249626,-1.616780943182951,-18.898068694389234,-0.1896484678453251,882,118,25,8,
HFD,A,theta,band,-2.506293624040249,-1.1278571350768694,-15.206935542100616,0.2551680342922824,881,119,25,8,
HFD,A,beta,band,-2.8138331918825568,-1.225907914464648,-15.256232690843396,0.0338280198159948,886,114,25,8,
HFD,A,low_gamma,band,-3.2004265824427987,-1.521720542413067,-16.18170690764636,0.00989695113926416,877,123,25,8,
HFD,A,high_gamma,band,-2.814081622939703,-1.3467534794712888,-17.33995485012029,0.12370886544533112,886,114,25,8,
HFD,A,fast_gamma,band,-2.8517875574964293,-1.5788959240817566,-14.89199167865138,-0.09073021324789277,901,99,25,8,
HFD,A,theta_delta,ratio,-3.0724680548176693,-1.7250212144602868,-19.22342258344759,0.10749982630982012,878,122,25,8,
HFD,A,beta_delta,ratio,-4.721695250117096,-2.6913717215002126,-26.136511306756237,-0.050535252483365656,873,127,25,8,
HFD,A,low_gamma_delta,ratio,-3.223154006008385,-1.6751898580260787,-16.567891490327547,0.3425787599758414,881,119,25,8,
HFD,A,high_gamma_delta,ratio,-3.419237636686846,-2.3063052983280015,-18.281408843139495,-0.0742322334462538,878,122,25,8,
HFD,A,fast_gamma_delta,ratio,-3.315769645330044,-2.2300634884937054,-12.57932960678354,-0.30314824009114116,891,109,25,8,
HFD,A,beta_theta,ratio,-2.7373344550515606,-1.6235402674734358,-12.13994918578536,0.12717455748150952,902,98,25,8,
HFD,A,low_gamma_theta,ratio,-3.3098262870121493,-1.6806807894334912,-15.354547349453709,0.18051251317820552,872,128,25,8,
HFD,A,high_gamma_theta,ratio,-3.6740282043492325,-1.5153366214157864,-16.203954400676214,-0.10930377215970677,881,119,25,8,
HFD,A,fast_gamma_theta,ratio,-3.607721720049537,-1.4849674155657677,-20.482736058053394,-0.10821306417982088,903,97,25,8,
HFD,A,low_gamma_beta,ratio,-2.5706355751184145,-1.64931103577019,-12.90882042281147,0.4768776700427164,907,93,25,8,
HFD,A,high_gamma_beta,ratio,-2.100517515826412,-0.7945752452921939,-11.496360462148878,0.3354480362453873,893,107,25,8,
HFD,A,fast_gamma_beta,ratio,-2.159032101019416,-1.1683590721341197,-10.880159985501347,0.4271477950381012,901,99,25,8,
HFD,A,high_gamma_low_gamma,ratio,-3.0483703547533865,-1.464817578075524,-15.016991066417825,0.06305516968896062,900,100,25,8,
HFD,A,fast_gamma_low_gamma,ratio,-3.0689899225105592,-0.9712944023986168,-14.465818912843448,0.11201603688746484,873,127,25,8,
HFD,A,fast_gamma_high_gamma,ratio,-3.968051171574859,-2.1875744674115927,-16.18683907305712,-0.059925054398750253,893,107,25,8,
HFD,B,delta,band,-3.7058771209127057,-1.1373292749850874,-22.094883762826242,-0.02869386395458238,938,62,28,10,
HFD,B,theta,band,-4.324004535267723,-1.555379843683437,-24.104723797278638,-0.02837661069799413,946,54,28,10,
HFD,B,beta,band,-2.990152289438887,-0.8825625997327758,-16.88133626205476,0.09616829365232171,942,58,28,10,
HFD,B,low_gamma,band,-3.099353309008966,-0.8516315031675088,-17.903443390682103,0.2546039098796763,956,44,28,10,
HFD,B,high_gamma,band,-3.3623947902302556,-0.9302398308600116,-18.1702343047333,0.10298728308510698,928,72,28,10,
HFD,B,fast_gamma,band,-2.7310040530430246,-0.6568005459692751,-19.21502171470882,0.3134756935831066,944,56,28,10,
HFD,B,theta_delta,ratio,-3.047014782763563,-0.8864773608645726,-17.468381184094923,0.3604816169758545,945,55,28,10,
HFD,B,beta_delta,ratio,-2.840211684548109,-0.8252283580255089,-23.266873343604203,0.3527143840486082,962,38,28,10,
HFD,B,low_gamma_delta,ratio,-3.974625416526695,-1.3500739288697021,-26.397831001535195,-0.07946237532567987,947,53,28,10,
HFD,B,high_gamma_delta,ratio,-3.1977874933515595,-0.6986385013871035,-19.561770306020456,0.39480000719900016,946,54,28,10,
HFD,B,fast_gamma_delta,ratio,-2.8357651811883873,-0.930065895945878,-17.527774876253247,0.17858753062265925,950,50,28,10,
HFD,B,beta_theta,ratio,-3.882638705639807,-1.5039390434665232,-24.416980783577685,0.04945491598504854,943,57,28,10,
HFD,B,low_gamma_theta,ratio,-5.265020371420597,-1.9173359107514076,-33.992612931815984,-0.3189605899660621,950,50,28,10,
HFD,B,high_gamma_theta,ratio,-5.04302655313959,-1.6964391921305932,-31.959306331409206,-0.1836890617104492,948,52,28,10,
HFD,B,fast_gamma_theta,ratio,-4.374677231941784,-1.4771057575685902,-22.764334139333425,-0.21957854574897837,936,64,28,10,
HFD,B,low_gamma_beta,ratio,-1.3206193855639508,-0.1698899700951665,-10.449406188717655,0.5693633067222363,942,58,28,10,
HFD,B,high_gamma_beta,ratio,-2.4057049914239115,-0.6561554196529951,-14.586840146040334,0.23018837455764543,926,74,28,10,
HFD,B,fast_gamma_beta,ratio,-2.749590941218769,-0.7772661733459246,-16.586365313526855,0.09688124331737623,948,52,28,10,
HFD,B,high_gamma_low_gamma,ratio,-3.2740491558763813,-1.1054699061490212,-22.056291102224876,0.19234591099752296,936,64,28,10,
HFD,B,fast_gamma_low_gamma,ratio,-3.0581370527345295,-0.9178579697451941,-17.595270155526364,0.29613077325652365,943,57,28,10,
HFD,B,fast_gamma_high_gamma,ratio,-3.6562395751116754,-0.731201231494593,-29.275056470217343,0.5728809906382237,943,57,28,10,
HFD,C,delta,band,-2.9160949078353338,-2.755832456853079,-8.183761746987807,0.18723469112406746,167,833,9,6,
HFD,C,theta,band,-3.905243345723286,-1.8313611235589136,-17.322551607636445,0.10347879938686129,185,815,9,6,
HFD,C,beta,band,-3.3739159076315834,-1.3780374941777236,-15.563972775423261,0.19586583443793035,170,830,9,6,
HFD,C,low_gamma,band,-4.052845542159101,-2.930786760296603,-20.92488148040167,-0.0026295272315598663,180,820,9,6,
HFD,C,high_gamma,band,-4.208737121131907,-1.669234279666882,-21.31743743502536,0.0887167222232153,159,841,9,6,
HFD,C,fast_gamma,band,-4.030238991533121,-1.7862243508224482,-20.99340747277807,0.09562405621683277,188,812,9,6,
HFD,C,theta_delta,ratio,-5.324763994717534,-2.872708969428555,-25.58830488075542,0.035070627883320896,183,817,9,6,
HFD,C,beta_delta,ratio,-4.0498179619225985,-1.6550472808635064,-19.65924721576926,-0.04363482108515865,199,801,9,6,
HFD,C,low_gamma_delta,ratio,-4.990198060973837,-0.6760679745572009,-22.208027378312952,-0.007639947822307254,175,825,9,6,
HFD,C,high_gamma_delta,ratio,-5.791324414429362,-0.5242978589169889,-27.108703825214395,0.11156539145053092,175,825,9,6,
