mouse_uid,feature,n_rec,spearman_r,spearman_p
1,log_delta_abs,9,-0.11666666666666665,0.7650079429261462
1,log_theta_abs,9,0.25,0.5164895523012263
1,log_beta_abs,9,-0.03333333333333333,0.932156735540504
1,log_low_gamma_abs,9,0.21666666666666667,0.5755148957119259
1,log_high_gamma_abs,9,0.13333333333333333,0.7323675052362975
1,log_fast_gamma_abs,9,0.11666666666666665,0.7650079429261462
1,delta_rel,9,-0.26666666666666666,0.4879222748387009
1,theta_rel,9,0.5166666666666667,0.1543901209862251
1,beta_rel,9,0.13333333333333333,0.7323675052362975
1,low_gamma_rel,9,0.25,0.5164895523012263
1,high_gamma_rel,9,0.08333333333333334,0.831214097710308
1,fast_gamma_rel,9,-0.03333333333333333,0.932156735540504
1,log_theta_delta,9,0.38333333333333336,0.30849527238037144
1,log_beta_delta,9,0.2833333333333333,0.46003032896571994
1,log_low_gamma_delta,9,0.31666666666666665,0.4063970144863861
1,log_high_gamma_delta,9,0.25,0.5164895523012263
1,log_fast_gamma_delta,9,0.26666666666666666,0.4879222748387009
1,log_beta_theta,9,-0.6,0.0876228290414024
1,log_low_gamma_theta,9,0.0,1.0
1,log_high_gamma_theta,9,-0.21666666666666667,0.5755148957119259
1,log_fast_gamma_theta,9,-0.43333333333333335,0.2439524358800516
1,log_low_gamma_beta,9,0.45,0.22421610749233667
1,log_high_gamma_beta,9,0.43333333333333335,0.2439524358800516
1,log_fast_gamma_beta,9,0.2333333333333333,0.5456987782182727
1,log_high_gamma_low_gamma,9,0.08333333333333334,0.831214097710308
1,log_fast_gamma_low_gamma,9,-0.3,0.4328453267094823
1,log_fast_gamma_high_gamma,9,-0.31666666666666665,0.4063970144863861
10,log_delta_abs,10,-0.44985010232324774,0.1920756967225873
10,log_theta_abs,10,-0.5471149893120582,0.1016780321289929
10,log_beta_abs,10,-0.6808542089216724,0.03021117068836832
10,log_low_gamma_abs,10,-0.6443798763008685,0.04431151432143616
10,log_high_gamma_abs,10,-0.6747751534848716,0.0323118085420257
10,log_fast_gamma_abs,10,-0.6139845991168652,0.05898096236903695
10,delta_rel,10,0.37690143708164003,0.2830033650057079
10,theta_rel,10,0.23708316203522517,0.5095614092618308
10,beta_rel,10,-0.2553203283456271,0.47649345335133597
10,low_gamma_rel,10,-0.024316221747202584,0.9468397049085097
10,high_gamma_rel,10,-0.01823716631040194,0.960119464496727
10,fast_gamma_rel,10,-0.01823716631040194,0.960119464496727
10,log_theta_delta,10,-0.46808726863364974,0.17245503609398916
10,log_beta_delta,10,-0.2978737164032316,0.4032038726329136
10,log_low_gamma_delta,10,-0.23708316203522517,0.5095614092618308
10,log_high_gamma_delta,10,-0.2735574946560291,0.44439914146883686
10,log_fast_gamma_delta,10,-0.29179466096643103,0.4133266028608583
10,log_beta_theta,10,-0.21884599572482327,0.5435509174040241
10,log_low_gamma_theta,10,-0.0790277206784084,0.8282024798594116
10,log_high_gamma_theta,10,-0.012158110873601292,0.9734080635074243
10,log_fast_gamma_theta,10,-0.01823716631040194,0.960119464496727
10,log_low_gamma_beta,10,0.42553388057604524,0.22017919518735943
10,log_high_gamma_beta,10,0.3708223816448394,0.2914682712989585
10,log_fast_gamma_beta,10,0.36474332620803873,0.3000669694646655
10,log_high_gamma_low_gamma,10,0.2492412729088265,0.4874104156153496
10,log_fast_gamma_low_gamma,10,0.10942299786241164,0.7634826463741492
10,log_fast_gamma_high_gamma,10,-0.10942299786241164,0.7634826463741492
14,log_delta_abs,10,0.05454545454545454,0.8810361811618526
14,log_theta_abs,10,0.12727272727272726,0.7260570147627894
14,log_beta_abs,10,-0.1515151515151515,0.6760651759978538
14,log_low_gamma_abs,10,-0.12727272727272726,0.7260570147627894
14,log_high_gamma_abs,10,-0.12727272727272726,0.7260570147627894
14,log_fast_gamma_abs,10,-0.01818181818181818,0.9602404181286243
14,delta_rel,10,-0.2727272727272727,0.44583834154275137
14,theta_rel,10,0.7575757575757575,0.011143446799694208
14,beta_rel,10,0.12727272727272726,0.7260570147627894
14,low_gamma_rel,10,-0.006060606060606061,0.9867429111949892
14,high_gamma_rel,10,-0.28484848484848485,0.42503815489214547
14,fast_gamma_rel,10,0.01818181818181818,0.9602404181286243
