outcome,term,beta,se,ci_lo,ci_hi,p_wald,converged,n_obs,n_mice,p_bh
log_delta_abs,Intercept,4.666543091512646,0.8094145366920933,3.080119751032969,6.2529664319923235,8.149751034731374e-09,True,163,19,
log_delta_abs,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.1897849189926466,0.18585894789055632,-0.5540617630626437,0.17449192507735045,0.3071959825056976,True,163,19,0.7912371643805568
log_delta_abs,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.16698979782203738,0.1661791117835589,-0.15871527625659376,0.4926948719006685,0.314955412687664,True,163,19,
log_delta_abs,"C(estrous_phase, Treatment(reference='A'))[T.C]",-0.046490206224300654,0.19824332494037428,-0.43503998328290533,0.342059570834304,0.8145884282202343,True,163,19,
log_delta_abs,"C(estrous_phase, Treatment(reference='A'))[T.D]",-0.055374993145433996,0.1607210565556906,-0.3703824755518127,0.25963248926094473,0.7304394695966543,True,163,19,
log_delta_abs,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.7082683360401648,0.11350113645229092,0.48581019638930834,0.9307264756910213,4.3704760419263314e-10,True,163,19,
log_delta_abs,body_weight,0.031725389249853284,0.024641109391332492,-0.016570297696270095,0.08002107619597666,0.1979206221971903,True,163,19,
log_delta_abs,days_on_diet,0.03343303458780339,0.0068639013872781734,0.019980035075303656,0.04688603410030312,1.111191341992356e-06,True,163,19,
log_theta_abs,Intercept,4.483118038354132,1.0344652261802676,2.4556034517817262,6.5106326249265365,1.4658782640963006e-05,True,163,19,
log_theta_abs,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.14634257107921567,0.25402654345381,-0.6442254473658823,0.35154030520745094,0.564553233710037,True,163,19,0.8490088727263018
log_theta_abs,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.23261892796347236,0.1282920466726001,-0.01882886301775552,0.4840667189447002,0.06980123350327327,True,163,19,
log_theta_abs,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.014620292318611545,0.15407117248238777,-0.2873536568027271,0.31659424143995024,0.9243997313078077,True,163,19,
log_theta_abs,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.027452718944673375,0.12280516416370987,-0.2132409799317269,0.2681464178210736,0.8231098526840068,True,163,19,
log_theta_abs,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.3886035715925266,0.08676632543786109,0.21854469866343734,0.558662444521616,7.508589574479601e-06,True,163,19,
log_theta_abs,body_weight,0.04064918682267281,0.032175477927380416,-0.022413591100356275,0.10371196474570189,0.2064601112341815,True,163,19,
log_theta_abs,days_on_diet,0.015472574497214597,0.005709576830910291,0.0042820095416660885,0.026663139452763107,0.006729666475728398,True,163,19,
log_beta_abs,Intercept,4.1553825839397085,0.8330045122820898,2.5227237409074594,5.788041426971958,6.087275987685171e-07,True,163,19,
log_beta_abs,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.03793098881441537,0.200137301697916,-0.4301928921053577,0.354330914476527,0.8496814933397882,True,163,19,0.9087963609409394
log_beta_abs,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.1297669546484158,0.11490495560656908,-0.09544261998563333,0.3549765292824649,0.258753728199163,True,163,19,
log_beta_abs,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.042232833467296754,0.13801091906534613,-0.22826359737405397,0.31272926430864745,0.7595964133137423,True,163,19,
log_beta_abs,"C(estrous_phase, Treatment(reference='A'))[T.D]",-0.005757105677174849,0.11027848842573545,-0.22189897126113356,0.21038475990678385,0.9583652247490324,True,163,19,
log_beta_abs,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.2599010757814819,0.07791422480640503,0.10719200127757078,0.41261015028539305,0.0008507473083084398,True,163,19,
log_beta_abs,body_weight,0.023344750802561483,0.025849149111338603,-0.027318650486667723,0.0740081520917907,0.36646493558375504,True,163,19,
log_beta_abs,days_on_diet,0.015137093726736852,0.005008980789894901,0.005319671779289855,0.02495451567418385,0.0025111820304443318,True,163,19,
log_low_gamma_abs,Intercept,3.4362430630510605,0.7641872232604272,1.9384636280149536,4.934022498087168,6.904922395401189e-06,True,163,19,
log_low_gamma_abs,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.15119717505106853,0.1852737542411899,-0.5143270606443258,0.21193271054218873,0.4144575622945774,True,163,19,0.7912371643805568
log_low_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.1512168753576401,0.10023349728315632,-0.045237169361839635,0.34767092007711986,0.13138924505282462,True,163,19,
log_low_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.08918212630717291,0.12041612751186945,-0.14682914677387393,0.3251933993882198,0.4589262252911189,True,163,19,
log_low_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.015558982639985168,0.09614201984063704,-0.17287591364859872,0.20399387892856907,0.8714371102330429,True,163,19,
log_low_gamma_abs,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.24000120798205232,0.06784722320965117,0.10702309404008598,0.37297932192401867,0.00040412234390959544,True,163,19,
log_low_gamma_abs,body_weight,0.034467892873409255,0.023748197953630083,-0.012077719813433523,0.08101350556025202,0.14667134141361785,True,163,19,
log_low_gamma_abs,days_on_diet,0.01026945097413936,0.004403604210543068,0.0016385453193060086,0.018900356628972714,0.019697753076086344,True,163,19,
log_high_gamma_abs,Intercept,3.193200520375233,0.6957944106941677,1.8294685347703934,4.556932505980073,4.447617259120761e-06,True,163,19,
log_high_gamma_abs,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.16918352785950105,0.17051284692404514,-0.5033825667320209,0.16501551101301878,0.32109802425682965,True,163,19,0.7912371643805568
log_high_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.15624592512647936,0.08656926886408721,-0.01342672401509623,0.32591857426805493,0.0710956622194572,True,163,19,
log_high_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.049872560653755914,0.1039915013555688,-0.15394703670140714,0.253692158008919,0.6315239063332189,True,163,19,
log_high_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.03232964478375931,0.08294296450637136,-0.13023557841971256,0.1948948679872312,0.6966980208128019,True,163,19,
log_high_gamma_abs,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.24825686827969848,0.05853451948557123,0.13353131823562087,0.3629824183237761,2.2232343977032526e-05,True,163,19,
log_high_gamma_abs,body_weight,0.029458260213723775,0.02164862383909344,-0.012972262825754602,0.07188878325320215,0.17359423627186743,True,163,19,
log_high_gamma_abs,days_on_diet,0.0091084063844323,0.0038417986665623314,0.001578619362116126,0.016638193406748474,0.017746256944551893,True,163,19,
log_fast_gamma_abs,Intercept,2.694138748790666,0.6149317240709012,1.4888947166605775,3.899382780920755,1.1802757549951005e-05,True,163,19,
log_fast_gamma_abs,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.21603755435522046,0.14906272590155026,-0.5081951285596248,0.0761200198491839,0.14725205011461753,True,163,19,0.7730732631017421
log_fast_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.12648063708382723,0.07947448969376404,-0.029286500405650007,0.28224777457330447,0.11150562164109512,True,163,19,
log_fast_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.04772255333713206,0.09533124835036315,-0.13912326003082315,0.2345683667050873,0.6166546530641633,True,163,19,
log_fast_gamma_abs,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.00977233170535913,0.07627094425296184,-0.1397159720973083,0.15926063550802655,0.8980488382863854,True,163,19,
log_fast_gamma_abs,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",0.27125275826527456,0.05367486661445377,0.16605195282595384,0.37645356370459526,4.334976961569488e-07,True,163,19,
log_fast_gamma_abs,body_weight,0.035643010802200455,0.019118882559408825,-0.0018293104388918124,0.07311533204329272,0.06228195033793009,True,163,19,
log_fast_gamma_abs,days_on_diet,0.008635870500324116,0.003492163618716705,0.001791355579518309,0.015480385421129922,0.013401099852520703,True,163,19,
log_theta_delta,Intercept,0.30942150666364726,0.6475077529168288,-0.9596703687637975,1.578513382091092,0.632746058334047,True,163,19,
log_theta_delta,"C(group, Treatment(reference='CTRL'))[T.HF]",0.1093145755136807,0.1560570420881681,-0.19655160651298012,0.41518075754034156,0.4836286364667969,True,163,19,0.8463501138168946
log_theta_delta,"C(estrous_phase, Treatment(reference='A'))[T.B]",0.017046562262529152,0.08435474266250974,-0.14828569528113433,0.18237881980619264,0.8398527385191346,True,163,19,
log_theta_delta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.040120458395118824,0.10118284002717357,-0.15819426391161914,0.2384351807018568,0.6917255483435913,True,163,19,
log_theta_delta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.020186063415165396,0.08062097342373578,-0.13782814089391757,0.17820026772424838,0.8022917291689117,True,163,19,
log_theta_delta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.3233774982160316,0.0571504585324436,-0.4353903386395709,-0.21136465779249233,1.5283207573749217e-08,True,163,19,
log_theta_delta,body_weight,-0.005414658267039106,0.02016816383085275,-0.044943533009813866,0.03411421647573565,0.7883333158093911,True,163,19,
log_theta_delta,days_on_diet,-0.019207900839501062,0.003701463399163136,-0.026462635791954014,-0.01195316588704811,2.11117682839268e-07,True,163,19,
log_beta_delta,Intercept,-0.42826261822984835,0.47830816603134385,-1.3657293971626867,0.5092041607029901,0.37058951571684595,True,163,19,
log_beta_delta,"C(group, Treatment(reference='CTRL'))[T.HF]",0.14472109433168306,0.10989377229764713,-0.07066674149695082,0.360108930160317,0.18786608933466398,True,163,19,0.7890375752055887
log_beta_delta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.04915367569873799,0.10443588986334336,-0.2538442585242827,0.1555369071268067,0.6378843755030634,True,163,19,
log_beta_delta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.06407849998435815,0.12491875915488253,-0.18075776895264478,0.30891476892136105,0.6079783309764428,True,163,19,
log_beta_delta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.0016588692654625479,0.09908658604800193,-0.19254727073965022,0.19586500927057532,0.9866427495263025,True,163,19,
log_beta_delta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.46207020944404226,0.0719350655123971,-0.6030603470738699,-0.3210800718142146,1.3323314884544207e-10,True,163,19,
log_beta_delta,body_weight,-0.009925167759402078,0.01455458750807142,-0.03845163508505864,0.01860129956625448,0.49528504372138815,True,163,19,
log_beta_delta,days_on_diet,-0.01871691304367612,0.004304102974829718,-0.02715279986009407,-0.010281026227258168,1.3699615973139349e-05,True,163,19,
log_low_gamma_delta,Intercept,-1.0804704790527928,0.46696488372689643,-1.9957048332024439,-0.16523612490314188,0.020677857329876308,True,163,19,
log_low_gamma_delta,"C(group, Treatment(reference='CTRL'))[T.HF]",0.06109964758007028,0.1064558247795447,-0.14754993493234397,0.2697492300924845,0.5660059151508678,True,163,19,0.8490088727263018
log_low_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.03159154332605096,0.11172195770388993,-0.25056255670798244,0.18737947005588054,0.7773536649380995,True,163,19,
log_low_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.09192673454175998,0.13519723135218042,-0.17305496971804307,0.35690843880156303,0.4965390382196856,True,163,19,
log_low_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.019860886337369096,0.10627490950638357,-0.18843410875539612,0.22815588143013432,0.8517530145224359,True,163,19,
log_low_gamma_delta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.4856338901621085,0.07786528344828351,-0.6382470413667469,-0.33302073895747003,4.46477154215004e-10,True,163,19,
log_low_gamma_delta,body_weight,-0.0013716144593808285,0.014071207695179657,-0.02895067476091582,0.02620744584215416,0.9223478611746753,True,163,19,
log_low_gamma_delta,days_on_diet,-0.023329013447102257,0.004615840364832882,-0.03237589432056093,-0.014282132573643585,4.32378552020918e-07,True,163,19,
log_high_gamma_delta,Intercept,-1.3055680127876703,0.4881665476285169,-2.2623568645968204,-0.34877916097852024,0.007485605751132779,True,163,19,
log_high_gamma_delta,"C(group, Treatment(reference='CTRL'))[T.HF]",0.05300587377870571,0.11113096199886321,-0.16480680930635555,0.270818556863767,0.6333851578671378,True,163,19,0.8726332648506514
log_high_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.02808092960996278,0.11672200072017684,-0.2568518472249677,0.2006899880050421,0.8098809801944449,True,163,19,
log_high_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.057615985880294346,0.14082232742940523,-0.2183907041004469,0.33362267586103556,0.6824372418857867,True,163,19,
log_high_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.044083727282433774,0.1113256130686196,-0.1741104648889022,0.26227791945376977,0.6921130828619495,True,163,19,
log_high_gamma_delta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.477299589193947,0.08132885709193548,-0.6367012199979455,-0.3178979583899485,4.390649618737865e-09,True,163,19,
log_high_gamma_delta,body_weight,-0.007150786487652308,0.014693664545835074,-0.03594983979840214,0.021648266823097527,0.6265008542203643,True,163,19,
log_high_gamma_delta,days_on_diet,-0.02453800710603808,0.0048269437170115025,-0.03399864294678252,-0.015077371265293639,3.7044606491470336e-07,True,163,19,
log_fast_gamma_delta,Intercept,-1.7315650881650748,0.49609515383422303,-2.7038937225850095,-0.7592364537451399,0.0004823178545761459,True,163,19,
log_fast_gamma_delta,"C(group, Treatment(reference='CTRL'))[T.HF]",0.021075641925126332,0.11427165943673438,-0.20289269502449964,0.24504397887475232,0.8536725688195079,True,163,19,0.9087963609409394
log_fast_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.07333826499044167,0.11444143113191067,-0.2976393483482075,0.15096281836732417,0.5216288090343595,True,163,19,
log_fast_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.05156224698623519,0.13909785979044803,-0.22106454852964513,0.3241890425021155,0.7108681108855628,True,163,19,
log_fast_gamma_delta,"C(estrous_phase, Treatment(reference='A'))[T.D]",0.011895229750198924,0.10963829411517786,-0.20299187804195945,0.22678233754235727,0.9136028799091632,True,163,19,
log_fast_gamma_delta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.4495844090683077,0.079823197745971,-0.6060350017812297,-0.2931338163553857,1.7787095202553228e-08,True,163,19,
log_fast_gamma_delta,body_weight,-0.00328209441960249,0.015004063081245848,-0.03268951768061142,0.026125328841406444,0.8268471019271699,True,163,19,
log_fast_gamma_delta,days_on_diet,-0.02483502530745968,0.004763019589343367,-0.03417037216023144,-0.015499678454687922,1.846773274636438e-07,True,163,19,
log_beta_theta,Intercept,-0.38970933325276663,0.422311928048528,-1.2174255024695522,0.43800683596401896,0.3561115814785839,True,163,19,
log_beta_theta,"C(group, Treatment(reference='CTRL'))[T.HF]",0.10035618373693142,0.10497629517872942,-0.10539357404382396,0.3061059415176868,0.33907779057484166,True,163,19,0.7912371643805568
log_beta_theta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.10087999362549745,0.05029250975899905,-0.19945150144526477,-0.0023084858057301205,0.04487063524706859,True,163,19,
log_beta_theta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.031604856716864214,0.06038591492057598,-0.08674936170096459,0.14995907513469303,0.6007089570821345,True,163,19,
log_beta_theta,"C(estrous_phase, Treatment(reference='A'))[T.D]",-0.026410835321747806,0.04807373218410621,-0.12063361900502005,0.06781194836152445,0.582743435710301,True,163,19,
log_beta_theta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.1275311500207614,0.03398813214629383,-0.19414666492928534,-0.06091563511223745,0.0001752714132789009,True,163,19,
log_beta_theta,body_weight,-0.01544152326063901,0.013154269836578981,-0.0412234183832554,0.010340371861977374,0.24044342985822575,True,163,19,
log_beta_theta,days_on_diet,-0.00019114627216285562,0.002256588334496723,-0.004613978135709657,0.004231685591383947,0.9324952312514924,True,163,19,
log_low_gamma_theta,Intercept,-1.080747640813741,0.5271428352400227,-2.113928612592517,-0.04756666903496498,0.04034502902951004,True,163,19,
log_low_gamma_theta,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.01145614160392697,0.13072389810112842,-0.26767027380082264,0.24475799059296868,0.9301658541909035,True,163,19,0.9301658541909035
log_low_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.B]",-0.07970476620600121,0.0633870168937811,-0.20394103640524414,0.0445315039932417,0.20859780296465813,True,163,19,
log_low_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.C]",0.07750244083039606,0.07612134676591001,-0.07169265728547208,0.2266975389462642,0.3086098501809076,True,163,19,
log_low_gamma_theta,"C(estrous_phase, Treatment(reference='A'))[T.D]",-0.008394595992886862,0.06060442219950822,-0.1271770808077827,0.11038788882200898,0.8898337487412532,True,163,19,
log_low_gamma_theta,"C(cable, Treatment(reference='Cable1'))[T.Cable3]",-0.14808016302574967,0.04285280710746222,-0.23207012159281765,-0.06409020445868167,0.0005491644121933026,True,163,19,
log_low_gamma_theta,body_weight,-0.005097935757545016,0.01641558431963068,-0.0372718898092016,0.027076018294111562,0.7561392207594853,True,163,19,
log_low_gamma_theta,days_on_diet,-0.005178789629956483,0.00284119055674675,-0.010747420794395418,0.0003898415344824515,0.06834075475850886,True,163,19,
log_high_gamma_theta,Intercept,-1.2925309967563412,0.5676838196178049,-2.4051708378133716,-0.17989115569931102,0.022795174857309083,True,163,19,
log_high_gamma_theta,"C(group, Treatment(reference='CTRL'))[T.HF]",-0.023784810366096414,0.14044659439121707,-0.29905507712418705,0.2514854563919942,0.8655203437532756,True,163,19,0.9087963609409394
